bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,2,2,2,11,30,2021-05-16 12:15:00,29,6
01,01002,5,7,6,3,49,115,2021-05-16 12:15:00,112,46
01,01003,2,10,7,2,36,99,2021-05-16 12:15:00,99,36
01,01004,1,0,0,1,3,22,2021-05-16 12:15:00,22,3
01,01051,1,4,3,1,3,35,2021-05-16 12:15:00,35,3
01,01053,2,2,2,2,3,13,2021-05-16 12:15:00,13,3
01,01054,3,0,0,3,12,12,2021-05-16 12:15:00,12,12
01,01055,3,2,1,3,18,33,2021-05-16 12:15:00,33,18
01,01056,2,4,3,2,4,27,2021-05-16 12:15:00,27,4
01,01057,1,3,2,1,7,5,2021-05-16 12:15:00,5,7
01,01058,5,2,0,3,12,30,2021-05-16 12:15:00,28,8
01,01059,1,0,0,1,9,15,2021-05-16 12:15:00,15,9
01,01060,4,2,2,4,22,64,2021-05-16 12:15:00,64,22
01,01061,3,5,3,1,16,27,2021-05-16 12:15:00,22,8
01,01062,3,1,0,3,6,24,2021-05-16 12:15:00,24,6
02,02000,34,77,50,24,126,505,2021-05-16 12:15:00,434,89
03,03101,7,11,7,5,32,100,2021-05-16 12:15:00,87,28
03,03102,2,8,7,2,2,27,2021-05-16 12:15:00,27,2
03,03103,3,7,5,1,10,29,2021-05-16 12:15:00,23,7
03,03151,1,4,4,1,1,11,2021-05-16 12:15:00,11,1
03,03153,3,7,5,3,1,25,2021-05-16 12:15:00,25,1
03,03154,1,4,2,1,1,17,2021-05-16 12:15:00,17,1
03,03155,2,2,1,2,4,16,2021-05-16 12:15:00,16,4
03,03157,1,2,2,1,7,12,2021-05-16 12:15:00,12,7
03,03158,1,1,1,1,3,13,2021-05-16 12:15:00,13,3
03,03159,8,28,21,7,33,120,2021-05-16 12:15:00,108,23
03,03241,19,44,34,16,42,329,2021-05-16 12:15:00,293,32
03,03251,3,0,0,3,9,10,2021-05-16 12:15:00,10,9
03,03252,6,4,4,4,22,50,2021-05-16 12:15:00,50,16
03,03254,7,2,1,4,19,55,2021-05-16 12:15:00,49,15
03,03255,1,2,1,1,1,10,2021-05-16 12:15:00,10,1
03,03256,1,4,1,1,3,17,2021-05-16 12:15:00,17,3
03,03257,1,2,0,1,5,17,2021-05-16 12:15:00,17,5
03,03351,2,4,3,1,6,25,2021-05-16 12:15:00,19,4
03,03352,2,2,1,2,3,9,2021-05-16 12:15:00,9,3
03,03353,3,2,2,3,7,27,2021-05-16 12:15:00,27,7
03,03354,1,0,0,1,1,3,2021-05-16 12:15:00,3,1
03,03355,3,4,0,1,7,29,2021-05-16 12:15:00,16,4
03,03356,3,2,2,2,4,12,2021-05-16 12:15:00,12,4
03,03357,3,6,5,2,7,25,2021-05-16 12:15:00,24,4
03,03358,2,0,0,2,6,12,2021-05-16 12:15:00,12,6
03,03359,3,2,2,2,5,26,2021-05-16 12:15:00,26,2
03,03360,2,2,1,2,2,74,2021-05-16 12:15:00,74,2
03,03361,2,1,0,2,1,14,2021-05-16 12:15:00,14,1
03,03401,1,1,0,1,1,11,2021-05-16 12:15:00,11,1
03,03402,1,1,0,1,3,12,2021-05-16 12:15:00,12,3
03,03403,6,13,11,3,21,90,2021-05-16 12:15:00,74,10
03,03404,5,19,15,4,17,102,2021-05-16 12:15:00,88,15
03,03405,2,2,1,1,2,25,2021-05-16 12:15:00,19,0
03,03451,3,3,1,2,2,31,2021-05-16 12:15:00,31,2
03,03452,4,5,1,3,7,29,2021-05-16 12:15:00,25,3
03,03453,3,2,1,3,6,14,2021-05-16 12:15:00,14,6
03,03454,10,7,1,6,32,60,2021-05-16 12:15:00,49,15
03,03455,2,1,0,2,11,22,2021-05-16 12:15:00,22,11
03,03456,1,3,3,1,3,22,2021-05-16 12:15:00,22,3
03,03457,6,1,1,4,10,22,2021-05-16 12:15:00,22,5
03,03458,1,2,1,1,1,7,2021-05-16 12:15:00,7,1
03,03459,7,0,0,6,24,72,2021-05-16 12:15:00,72,24
03,03460,5,2,1,3,8,24,2021-05-16 12:15:00,21,3
03,03461,2,0,0,2,4,10,2021-05-16 12:15:00,10,4
03,03462,1,2,2,1,1,7,2021-05-16 12:15:00,7,1
04,04011,10,33,22,9,22,123,2021-05-16 12:15:00,115,16
04,04012,4,8,6,3,6,49,2021-05-16 12:15:00,37,6
05,05111,14,42,30,11,41,257,2021-05-16 12:15:00,235,34
05,05112,16,28,21,9,30,156,2021-05-16 12:15:00,137,21
05,05113,15,41,33,12,41,332,2021-05-16 12:15:00,304,40
05,05114,7,14,10,4,19,67,2021-05-16 12:15:00,58,16
05,05116,6,9,1,4,5,84,2021-05-16 12:15:00,77,5
05,05117,2,8,5,2,5,29,2021-05-16 12:15:00,29,5
05,05119,7,9,5,4,16,55,2021-05-16 12:15:00,48,9
05,05120,1,4,3,1,0,26,2021-05-16 12:15:00,26,0
05,05122,4,27,19,3,10,65,2021-05-16 12:15:00,63,8
05,05124,7,31,18,5,26,121,2021-05-16 12:15:00,115,18
05,05154,8,5,4,5,14,58,2021-05-16 12:15:00,57,7
05,05158,7,12,3,6,17,52,2021-05-16 12:15:00,52,14
05,05162,7,18,10,5,14,88,2021-05-16 12:15:00,80,8
05,05166,4,7,2,4,4,32,2021-05-16 12:15:00,32,4
05,05170,11,19,8,8,32,94,2021-05-16 12:15:00,92,26
05,05314,18,28,20,11,17,272,2021-05-16 12:15:00,212,15
