bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,2,2,6,36,2021-04-20 12:15:00,34,2
01,01002,5,12,12,3,45,121,2021-04-20 12:15:00,119,41
01,01003,2,5,4,2,26,109,2021-04-20 12:15:00,109,26
01,01004,1,0,0,1,2,23,2021-04-20 12:15:00,23,2
01,01051,1,0,0,1,1,37,2021-04-20 12:15:00,37,1
01,01053,2,2,1,2,3,15,2021-04-20 12:15:00,15,3
01,01054,3,0,0,3,15,9,2021-04-20 12:15:00,9,15
01,01055,3,2,1,3,15,36,2021-04-20 12:15:00,36,15
01,01056,2,4,0,2,0,36,2021-04-20 12:15:00,36,0
01,01057,1,2,1,1,4,8,2021-04-20 12:15:00,8,4
01,01058,5,3,2,3,16,26,2021-04-20 12:15:00,24,12
01,01059,1,1,0,1,3,21,2021-04-20 12:15:00,21,3
01,01060,4,6,3,4,14,80,2021-04-20 12:15:00,80,14
01,01061,3,5,1,1,13,30,2021-04-20 12:15:00,25,5
01,01062,3,6,5,3,4,30,2021-04-20 12:15:00,30,4
02,02000,34,117,65,24,97,567,2021-04-20 12:15:00,494,62
03,03101,7,14,5,5,24,108,2021-04-20 12:15:00,96,19
03,03102,2,8,7,2,9,20,2021-04-20 12:15:00,20,9
03,03103,3,9,4,1,5,34,2021-04-20 12:15:00,27,3
03,03151,1,8,3,1,0,12,2021-04-20 12:15:00,12,0
03,03153,3,6,4,3,3,26,2021-04-20 12:15:00,26,3
03,03154,1,7,6,1,0,18,2021-04-20 12:15:00,18,0
03,03155,2,1,1,2,7,13,2021-04-20 12:15:00,13,7
03,03157,1,4,3,1,1,18,2021-04-20 12:15:00,18,1
03,03158,1,2,0,1,2,14,2021-04-20 12:15:00,14,2
03,03159,8,33,23,7,20,137,2021-04-20 12:15:00,122,20
03,03241,19,59,39,16,39,364,2021-04-20 12:15:00,325,31
03,03251,3,0,0,3,5,13,2021-04-20 12:15:00,13,5
03,03252,6,6,3,4,10,64,2021-04-20 12:15:00,63,5
03,03254,7,8,2,4,22,54,2021-04-20 12:15:00,50,16
03,03255,1,1,0,1,2,9,2021-04-20 12:15:00,9,2
03,03256,1,1,1,1,5,19,2021-04-20 12:15:00,19,5
03,03257,1,6,2,1,2,20,2021-04-20 12:15:00,20,2
03,03351,2,7,3,1,2,23,2021-04-20 12:15:00,18,0
03,03352,2,3,0,2,2,10,2021-04-20 12:15:00,10,2
03,03353,3,7,6,3,2,32,2021-04-20 12:15:00,32,2
03,03354,1,1,1,1,0,5,2021-04-20 12:15:00,5,0
03,03355,3,4,2,1,9,32,2021-04-20 12:15:00,21,3
03,03356,3,1,0,2,2,12,2021-04-20 12:15:00,12,2
03,03357,3,6,1,2,8,24,2021-04-20 12:15:00,23,5
03,03358,2,1,0,2,7,11,2021-04-20 12:15:00,11,7
03,03359,3,9,5,2,3,32,2021-04-20 12:15:00,32,0
03,03360,2,5,3,2,3,73,2021-04-20 12:15:00,73,3
03,03361,2,2,0,2,1,14,2021-04-20 12:15:00,14,1
03,03401,1,2,0,1,0,18,2021-04-20 12:15:00,18,0
03,03402,1,2,1,1,10,9,2021-04-20 12:15:00,9,10
03,03403,6,18,11,3,10,115,2021-04-20 12:15:00,93,7
03,03404,5,22,14,4,28,103,2021-04-20 12:15:00,93,22
03,03405,2,5,3,1,6,20,2021-04-20 12:15:00,16,2
03,03451,3,3,2,2,7,26,2021-04-20 12:15:00,26,7
03,03452,4,3,1,3,8,29,2021-04-20 12:15:00,23,6
03,03453,3,3,1,3,4,19,2021-04-20 12:15:00,19,4
03,03454,10,14,8,6,28,65,2021-04-20 12:15:00,53,12
03,03455,2,2,1,2,11,22,2021-04-20 12:15:00,22,11
03,03456,1,6,3,1,3,22,2021-04-20 12:15:00,22,3
03,03457,6,5,1,4,5,27,2021-04-20 12:15:00,24,3
