bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,3,2,10,31,2021-03-29 12:15:00,30,5
01,01002,5,13,11,3,55,111,2021-03-29 12:15:00,110,50
01,01003,2,5,2,2,32,104,2021-03-29 12:15:00,104,32
01,01004,1,2,1,1,1,24,2021-03-29 12:15:00,24,1
01,01051,1,0,0,1,1,37,2021-03-29 12:15:00,37,1
01,01053,2,4,2,2,3,15,2021-03-29 12:15:00,15,3
01,01054,3,1,1,3,11,13,2021-03-29 12:15:00,13,11
01,01055,3,3,0,3,14,34,2021-03-29 12:15:00,34,14
01,01056,2,3,0,2,7,30,2021-03-29 12:15:00,30,7
01,01057,1,2,1,1,3,9,2021-03-29 12:15:00,9,3
01,01058,5,5,4,3,13,29,2021-03-29 12:15:00,28,8
01,01059,1,0,0,1,6,18,2021-03-29 12:15:00,18,6
01,01060,4,5,0,4,24,70,2021-03-29 12:15:00,70,24
01,01061,3,4,1,1,8,36,2021-03-29 12:15:00,25,7
01,01062,3,4,4,3,9,25,2021-03-29 12:15:00,25,9
02,02000,34,91,56,24,125,541,2021-03-29 12:15:00,477,79
03,03101,7,8,6,5,35,97,2021-03-29 12:15:00,85,30
03,03102,2,6,3,2,2,27,2021-03-29 12:15:00,27,2
03,03103,3,6,2,1,3,32,2021-03-29 12:15:00,26,0
03,03151,1,4,1,1,2,12,2021-03-29 12:15:00,12,2
03,03153,3,4,3,3,2,35,2021-03-29 12:15:00,35,2
03,03154,1,2,2,1,3,15,2021-03-29 12:15:00,15,3
03,03155,2,1,1,2,5,15,2021-03-29 12:15:00,15,5
03,03157,1,2,1,1,7,12,2021-03-29 12:15:00,12,7
03,03158,1,0,0,1,4,12,2021-03-29 12:15:00,12,4
03,03159,8,17,14,7,22,127,2021-03-29 12:15:00,112,20
03,03241,19,61,36,16,41,359,2021-03-29 12:15:00,323,32
03,03251,3,2,1,3,7,10,2021-03-29 12:15:00,10,7
03,03252,6,3,2,4,17,57,2021-03-29 12:15:00,57,11
03,03254,7,9,2,4,29,49,2021-03-29 12:15:00,46,22
03,03255,1,0,0,1,4,7,2021-03-29 12:15:00,7,4
03,03256,1,3,2,1,3,21,2021-03-29 12:15:00,21,3
03,03257,1,3,0,1,1,24,2021-03-29 12:15:00,24,1
03,03351,2,10,6,1,3,29,2021-03-29 12:15:00,22,2
03,03352,2,2,2,2,3,9,2021-03-29 12:15:00,9,3
03,03353,3,5,2,3,6,28,2021-03-29 12:15:00,28,6
03,03354,1,2,1,1,9,6,2021-03-29 12:15:00,6,9
03,03355,3,1,0,1,9,36,2021-03-29 12:15:00,20,8
03,03356,3,3,1,2,3,10,2021-03-29 12:15:00,10,3
03,03357,3,4,1,2,9,23,2021-03-29 12:15:00,19,9
03,03358,2,4,3,2,3,16,2021-03-29 12:15:00,16,3
03,03359,3,2,0,2,14,19,2021-03-29 12:15:00,19,11
03,03360,2,5,3,2,8,68,2021-03-29 12:15:00,68,8
03,03361,2,1,0,2,4,11,2021-03-29 12:15:00,11,4
03,03401,1,4,3,1,0,17,2021-03-29 12:15:00,17,0
03,03402,1,0,0,1,3,12,2021-03-29 12:15:00,12,3
03,03403,6,17,10,3,13,111,2021-03-29 12:15:00,93,4
03,03404,5,16,12,4,20,98,2021-03-29 12:15:00,86,16
03,03405,2,2,2,1,8,23,2021-03-29 12:15:00,19,4
03,03451,3,3,1,2,12,21,2021-03-29 12:15:00,21,12
03,03452,4,2,0,3,9,29,2021-03-29 12:15:00,25,5
03,03453,3,6,5,3,5,24,2021-03-29 12:15:00,24,5
03,03454,10,12,3,6,29,59,2021-03-29 12:15:00,51,11
03,03455,2,2,2,2,11,22,2021-03-29 12:15:00,22,11
03,03456,1,5,1,1,6,20,2021-03-29 12:15:00,20,6
03,03457,6,4,2,4,9,23,2021-03-29 12:15:00,23,4
03,03458,1,1,0,1,0,7,2021-03-29 12:15:00,7,0
03,03459,7,2,0,6,18,86,2021-03-29 12:15:00,86,18
03,03460,5,5,2,3,6,28,2021-03-29 12:15:00,24,2
03,03461,2,1,0,2,4,7,2021-03-29 12:15:00,7,4
03,03462,1,1,0,1,2,6,2021-03-29 12:15:00,6,2
04,04011,10,27,18,9,20,142,2021-03-29 12:15:00,135,15
04,04012,4,12,12,3,13,45,2021-03-29 12:15:00,35,7
05,05111,13,30,17,11,26,265,2021-03-29 12:15:00,247,22
05,05112,16,32,11,9,21,177,2021-03-29 12:15:00,155,15
05,05113,15,37,28,12,45,335,2021-03-29 12:15:00,312,39
05,05114,7,7,1,4,7,81,2021-03-29 12:15:00,68,7
05,05116,6,7,5,4,12,82,2021-03-29 12:15:00,76,11
05,05117,2,5,2,2,1,35,2021-03-29 12:15:00,35,1
05,05119,7,8,1,4,10,65,2021-03-29 12:15:00,54,8
05,05120,1,4,3,1,5,25,2021-03-29 12:15:00,25,5
05,05122,4,16,8,3,26,56,2021-03-29 12:15:00,56,22
05,05124,7,24,17,5,24,120,2021-03-29 12:15:00,109,21
05,05154,8,10,5,5,22,52,2021-03-29 12:15:00,52,14
05,05158,7,13,5,6,15,56,2021-03-29 12:15:00,56,12
05,05162,7,10,3,5,16,89,2021-03-29 12:15:00,83,8
05,05166,4,7,2,4,4,29,2021-03-29 12:15:00,29,4
05,05170,11,11,3,8,38,96,2021-03-29 12:15:00,93,32
05,05314,18,36,22,11,15,277,2021-03-29 12:15:00,218,11
05,05315,31,70,38,18,30,427,2021-03-29 12:15:00,370,27
05,05316,5,11,5,2,9,81,2021-03-29 12:15:00,64,2
05,05334,13,22,14,7,33,272,2021-03-29 12:15:00,253,31
05,05358,7,15,8,5,14,51,2021-03-29 12:15:00,48,9
05,05362,7,12,5,7,16,66,2021-03-29 12:15:00,66,16
05,05366,3,7,3,3,9,17,2021-03-29 12:15:00,17,9
05,05370,3,7,2,3,8,29,2021-03-29 12:15:00,29,8
05,05374,6,10,5,6,11,79,2021-03-29 12:15:00,79,11
05,05378,4,9,1,4,6,36,2021-03-29 12:15:00,36,6
05,05382,7,17,10,6,9,77,2021-03-29 12:15:00,67,7
05,05512,2,2,0,2,7,33,2021-03-29 12:15:00,33,7
05,05513,7,10,4,4,21,85,2021-03-29 12:15:00,75,5
05,05515,9,8,5,7,22,244,2021-03-29 12:15:00,229,21
05,05554,6,13,5,5,18,55,2021-03-29 12:15:00,55,16
05,05558,5,2,0,3,16,25,2021-03-29 12:15:00,15,16
05,05562,15,18,5,14,36,183,2021-03-29 12:15:00,159,28
05,05566,7,8,4,5,28,69,2021-03-29 12:15:00,63,19
05,05570,6,8,4,5,8,40,2021-03-29 12:15:00,40,6
05,05711,6,14,7,4,29,129,2021-03-29 12:15:00,109,23
05,05754,4,6,2,4,8,44,2021-03-29 12:15:00,44,8
05,05758,5,7,4,3,12,52,2021-03-29 12:15:00,44,10
05,05762,6,1,0,5,9,26,2021-03-29 12:15:00,22,9
05,05766,2,10,5,2,3,47,2021-03-29 12:15:00,47,3
05,05770,9,13,10,6,30,199,2021-03-29 12:15:00,176,26
05,05774,7,16,14,5,15,85,2021-03-29 12:15:00,72,13
05,05911,8,18,9,6,24,165,2021-03-29 12:15:00,151,17
05,05913,9,23,14,9,31,262,2021-03-29 12:15:00,262,31
05,05914,7,13,4,5,19,74,2021-03-29 12:15:00,73,10
05,05915,7,4,3,5,35,56,2021-03-29 12:15:00,48,21
05,05916,4,8,4,4,5,58,2021-03-29 12:15:00,58,5
05,05954,7,5,4,6,26,111,2021-03-29 12:15:00,85,23
05,05958,10,15,5,9,36,69,2021-03-29 12:15:00,68,29
