bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,1,1,2,6,35,2021-09-05 12:15:00,32,3
01,01002,5,6,6,3,51,113,2021-09-05 12:15:00,112,46
01,01003,2,5,4,2,31,103,2021-09-05 12:15:00,103,31
01,01004,1,0,0,1,5,20,2021-09-05 12:15:00,20,5
01,01051,1,0,0,1,1,37,2021-09-05 12:15:00,37,1
01,01053,2,0,0,2,5,13,2021-09-05 12:15:00,13,5
01,01054,3,0,0,3,9,15,2021-09-05 12:15:00,15,9
01,01055,3,0,0,3,15,34,2021-09-05 12:15:00,34,15
01,01056,2,0,0,2,3,32,2021-09-05 12:15:00,32,3
01,01057,1,0,0,1,3,9,2021-09-05 12:15:00,9,3
01,01058,5,1,1,3,12,30,2021-09-05 12:15:00,29,7
01,01059,1,0,0,1,2,22,2021-09-05 12:15:00,22,2
01,01060,3,1,1,3,28,52,2021-09-05 12:15:00,52,28
01,01061,3,0,0,1,8,35,2021-09-05 12:15:00,24,6
01,01062,3,0,0,3,9,23,2021-09-05 12:15:00,23,9
02,02000,34,49,31,24,128,496,2021-09-05 12:15:00,428,89
03,03101,7,7,5,5,27,99,2021-09-05 12:15:00,85,24
03,03102,2,0,0,2,7,22,2021-09-05 12:15:00,22,7
03,03103,3,1,1,1,7,29,2021-09-05 12:15:00,21,3
03,03151,1,4,3,1,0,10,2021-09-05 12:15:00,10,0
03,03153,3,2,0,3,7,20,2021-09-05 12:15:00,20,7
03,03154,1,0,0,1,6,10,2021-09-05 12:15:00,10,6
03,03155,2,0,0,2,7,13,2021-09-05 12:15:00,13,7
03,03157,1,1,0,1,1,14,2021-09-05 12:15:00,14,1
03,03158,1,0,0,1,4,12,2021-09-05 12:15:00,12,4
03,03159,8,9,5,7,17,122,2021-09-05 12:15:00,106,17
03,03241,19,30,15,16,48,327,2021-09-05 12:15:00,291,40
03,03251,3,0,0,3,6,11,2021-09-05 12:15:00,11,6
