bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,5,3,2,7,34,2021-03-27 12:15:00,33,2
01,01002,5,11,8,3,47,119,2021-03-27 12:15:00,117,43
01,01003,2,5,3,2,23,113,2021-03-27 12:15:00,113,23
01,01004,1,1,0,1,4,21,2021-03-27 12:15:00,21,4
01,01051,1,0,0,1,2,36,2021-03-27 12:15:00,36,2
01,01053,2,3,2,2,3,15,2021-03-27 12:15:00,15,3
01,01054,3,0,0,3,9,18,2021-03-27 12:15:00,18,9
01,01055,3,3,0,3,16,32,2021-03-27 12:15:00,32,16
01,01056,2,3,0,2,3,34,2021-03-27 12:15:00,34,3
01,01057,1,2,1,1,5,7,2021-03-27 12:15:00,7,5
01,01058,5,6,4,3,17,25,2021-03-27 12:15:00,24,12
01,01059,1,1,0,1,3,21,2021-03-27 12:15:00,21,3
01,01060,4,2,0,4,29,60,2021-03-27 12:15:00,60,29
01,01061,3,3,1,1,10,34,2021-03-27 12:15:00,23,9
01,01062,3,1,0,3,10,24,2021-03-27 12:15:00,24,10
02,02000,34,87,53,24,116,564,2021-03-27 12:15:00,497,73
03,03101,7,5,3,5,28,104,2021-03-27 12:15:00,92,23
03,03102,2,6,3,2,2,27,2021-03-27 12:15:00,27,2
03,03103,3,5,2,1,3,32,2021-03-27 12:15:00,26,0
03,03151,1,3,0,1,0,14,2021-03-27 12:15:00,14,0
03,03153,3,3,2,3,1,36,2021-03-27 12:15:00,36,1
03,03154,1,2,2,1,2,16,2021-03-27 12:15:00,16,2
03,03155,2,1,1,2,7,13,2021-03-27 12:15:00,13,7
03,03157,1,2,1,1,1,14,2021-03-27 12:15:00,14,1
03,03158,1,1,1,1,4,12,2021-03-27 12:15:00,12,4
03,03159,8,13,8,7,25,128,2021-03-27 12:15:00,112,21
03,03241,19,53,27,16,35,361,2021-03-27 12:15:00,325,26
03,03251,3,2,1,3,5,12,2021-03-27 12:15:00,12,5
03,03252,6,5,4,4,16,56,2021-03-27 12:15:00,55,11
03,03254,7,6,2,4,14,61,2021-03-27 12:15:00,54,11
03,03255,1,0,0,1,3,8,2021-03-27 12:15:00,8,3
03,03256,1,2,1,1,9,15,2021-03-27 12:15:00,15,9
03,03257,1,2,0,1,8,17,2021-03-27 12:15:00,17,8
03,03351,2,9,5,1,1,28,2021-03-27 12:15:00,22,0
03,03352,2,1,1,2,3,9,2021-03-27 12:15:00,9,3
03,03353,3,6,1,3,6,28,2021-03-27 12:15:00,28,6
03,03354,1,3,1,1,7,8,2021-03-27 12:15:00,8,7
03,03355,3,2,1,1,8,37,2021-03-27 12:15:00,22,6
03,03356,3,3,1,2,3,10,2021-03-27 12:15:00,10,3
03,03357,3,4,2,2,7,25,2021-03-27 12:15:00,21,7
03,03358,2,3,1,2,0,18,2021-03-27 12:15:00,18,0
03,03359,3,3,1,2,6,25,2021-03-27 12:15:00,25,3
03,03360,2,5,2,2,12,64,2021-03-27 12:15:00,64,12
03,03361,2,0,0,2,5,10,2021-03-27 12:15:00,10,5
03,03401,1,5,4,1,0,17,2021-03-27 12:15:00,17,0
03,03402,1,0,0,1,9,10,2021-03-27 12:15:00,10,9
03,03403,6,15,8,3,13,110,2021-03-27 12:15:00,90,6
03,03404,5,16,10,4,13,103,2021-03-27 12:15:00,91,9
03,03405,2,2,2,1,8,23,2021-03-27 12:15:00,18,5
03,03451,3,3,1,2,13,20,2021-03-27 12:15:00,20,13
03,03452,4,2,0,3,6,32,2021-03-27 12:15:00,28,2
03,03453,3,6,4,3,7,22,2021-03-27 12:15:00,22,7
03,03454,10,11,2,6,28,60,2021-03-27 12:15:00,53,9
03,03455,2,2,2,2,5,28,2021-03-27 12:15:00,28,5
03,03456,1,5,2,1,6,19,2021-03-27 12:15:00,19,6
03,03457,6,2,1,4,10,22,2021-03-27 12:15:00,22,5
03,03458,1,0,0,1,1,6,2021-03-27 12:15:00,6,1
03,03459,7,2,0,6,16,80,2021-03-27 12:15:00,80,16
03,03460,5,4,2,3,4,30,2021-03-27 12:15:00,24,2
03,03461,2,1,0,2,3,9,2021-03-27 12:15:00,9,3
03,03462,1,1,0,1,0,8,2021-03-27 12:15:00,8,0
04,04011,10,24,17,9,15,127,2021-03-27 12:15:00,120,10
04,04012,4,10,8,3,15,44,2021-03-27 12:15:00,34,9
05,05111,14,30,17,11,29,266,2021-03-27 12:15:00,244,22
05,05112,16,27,9,9,19,177,2021-03-27 12:15:00,154,13
05,05113,15,35,28,12,30,342,2021-03-27 12:15:00,317,26
05,05114,7,6,1,4,6,83,2021-03-27 12:15:00,70,6
05,05116,6,9,4,4,11,83,2021-03-27 12:15:00,77,10
05,05117,2,6,2,2,1,35,2021-03-27 12:15:00,35,1
05,05119,7,9,3,4,10,66,2021-03-27 12:15:00,57,6
05,05120,1,3,3,1,8,22,2021-03-27 12:15:00,22,8
05,05122,4,18,13,3,17,67,2021-03-27 12:15:00,67,13
05,05124,7,21,15,5,13,132,2021-03-27 12:15:00,122,9
05,05154,8,11,4,5,28,46,2021-03-27 12:15:00,46,20
05,05158,7,14,7,6,20,49,2021-03-27 12:15:00,49,17
05,05162,7,11,4,5,13,93,2021-03-27 12:15:00,86,6
05,05166,4,4,1,4,4,29,2021-03-27 12:15:00,29,4
05,05170,11,10,3,8,34,99,2021-03-27 12:15:00,96,28
05,05314,18,33,24,11,21,269,2021-03-27 12:15:00,213,18
05,05315,31,71,37,18,33,418,2021-03-27 12:15:00,365,26
05,05316,5,9,4,2,13,77,2021-03-27 12:15:00,60,6
05,05334,13,23,16,7,29,274,2021-03-27 12:15:00,256,28
