bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,2,2,2,4,37,2021-04-13 12:15:00,34,1
01,01002,5,7,6,3,54,110,2021-04-13 12:15:00,109,49
01,01003,2,5,2,2,38,98,2021-04-13 12:15:00,98,38
01,01004,1,1,0,1,3,22,2021-04-13 12:15:00,22,3
01,01051,1,0,0,1,1,37,2021-04-13 12:15:00,37,1
01,01053,2,2,1,2,6,12,2021-04-13 12:15:00,12,6
01,01054,3,1,1,3,7,17,2021-04-13 12:15:00,17,7
01,01055,3,0,0,3,14,34,2021-04-13 12:15:00,34,14
01,01056,2,4,1,2,2,35,2021-04-13 12:15:00,35,2
01,01057,1,2,0,1,5,7,2021-04-13 12:15:00,7,5
01,01058,5,3,2,3,16,26,2021-04-13 12:15:00,25,11
01,01059,1,0,0,1,2,22,2021-04-13 12:15:00,22,2
01,01060,4,7,5,4,18,76,2021-04-13 12:15:00,76,18
01,01061,3,3,2,1,10,32,2021-04-13 12:15:00,24,6
01,01062,3,2,2,3,4,30,2021-04-13 12:15:00,30,4
02,02000,34,103,65,24,112,564,2021-04-13 12:15:00,494,74
03,03101,7,11,6,5,28,104,2021-04-13 12:15:00,94,21
03,03102,2,5,4,2,4,25,2021-04-13 12:15:00,25,4
03,03103,3,4,1,1,7,28,2021-04-13 12:15:00,23,3
03,03151,1,5,2,1,1,11,2021-04-13 12:15:00,11,1
03,03153,3,4,3,3,2,27,2021-04-13 12:15:00,27,2
03,03154,1,6,6,1,0,18,2021-04-13 12:15:00,18,0
03,03155,2,1,0,2,3,16,2021-04-13 12:15:00,16,3
03,03157,1,3,1,1,5,15,2021-04-13 12:15:00,15,5
03,03158,1,3,3,1,2,14,2021-04-13 12:15:00,14,2
03,03159,8,29,18,7,26,136,2021-04-13 12:15:00,120,22
03,03241,19,55,37,16,39,358,2021-04-13 12:15:00,327,27
03,03251,3,1,0,3,0,17,2021-04-13 12:15:00,17,0
03,03252,6,6,4,4,12,61,2021-04-13 12:15:00,58,9
03,03254,7,9,2,4,21,53,2021-04-13 12:15:00,50,14
03,03255,1,1,0,1,3,8,2021-04-13 12:15:00,8,3
03,03256,1,3,3,1,3,21,2021-04-13 12:15:00,21,3
03,03257,1,8,0,1,1,21,2021-04-13 12:15:00,21,1
03,03351,2,7,3,1,2,29,2021-04-13 12:15:00,24,0
