bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,1,0,2,2,39,2021-07-20 12:15:00,34,1
01,01002,5,1,1,3,43,121,2021-07-20 12:15:00,118,40
01,01003,2,2,2,2,27,106,2021-07-20 12:15:00,106,27
01,01004,1,0,0,1,3,22,2021-07-20 12:15:00,22,3
01,01051,1,0,0,1,1,37,2021-07-20 12:15:00,37,1
01,01053,2,0,0,2,5,17,2021-07-20 12:15:00,17,5
01,01054,3,0,0,3,7,17,2021-07-20 12:15:00,17,7
01,01055,3,0,0,3,10,41,2021-07-20 12:15:00,41,10
01,01056,2,0,0,2,12,24,2021-07-20 12:15:00,24,12
01,01057,1,0,0,1,5,7,2021-07-20 12:15:00,7,5
01,01058,5,0,0,3,5,35,2021-07-20 12:15:00,31,3
01,01059,1,0,0,1,3,21,2021-07-20 12:15:00,21,3
01,01060,3,0,0,3,25,60,2021-07-20 12:15:00,60,25
01,01061,3,0,0,1,10,33,2021-07-20 12:15:00,22,8
01,01062,3,0,0,3,3,26,2021-07-20 12:15:00,26,3
02,02000,33,13,11,23,146,500,2021-07-20 12:15:00,429,109
03,03101,7,0,0,5,31,101,2021-07-20 12:15:00,88,27
03,03102,2,0,0,2,4,25,2021-07-20 12:15:00,25,4
03,03103,3,0,0,1,13,20,2021-07-20 12:15:00,14,10
03,03151,1,0,0,1,0,12,2021-07-20 12:15:00,12,0
03,03153,3,0,0,3,6,23,2021-07-20 12:15:00,23,6
03,03154,1,0,0,1,1,15,2021-07-20 12:15:00,15,1
03,03155,2,0,0,2,5,15,2021-07-20 12:15:00,15,5
03,03157,1,0,0,1,2,18,2021-07-20 12:15:00,18,2
03,03158,1,0,0,1,4,12,2021-07-20 12:15:00,12,4
03,03159,8,9,3,7,17,134,2021-07-20 12:15:00,119,14
03,03241,16,3,1,15,28,193,2021-07-20 12:15:00,180,23
03,03251,3,0,0,3,4,13,2021-07-20 12:15:00,13,4
03,03252,6,3,1,4,10,65,2021-07-20 12:15:00,64,5
03,03254,7,1,0,4,22,51,2021-07-20 12:15:00,46,16
03,03255,1,0,0,1,1,8,2021-07-20 12:15:00,8,1
03,03256,1,1,0,1,12,12,2021-07-20 12:15:00,12,12
03,03257,1,0,0,1,10,17,2021-07-20 12:15:00,17,10
03,03351,2,0,0,1,7,24,2021-07-20 12:15:00,17,4
03,03352,2,0,0,2,6,6,2021-07-20 12:15:00,6,6
03,03353,3,1,1,3,1,33,2021-07-20 12:15:00,33,1
03,03354,1,0,0,1,0,7,2021-07-20 12:15:00,7,0
03,03355,3,0,0,1,12,35,2021-07-20 12:15:00,22,8
03,03356,3,0,0,2,8,10,2021-07-20 12:15:00,10,8
03,03357,3,0,0,2,10,22,2021-07-20 12:15:00,20,8
03,03358,2,0,0,2,2,17,2021-07-20 12:15:00,17,2
03,03359,3,0,0,2,7,26,2021-07-20 12:15:00,26,4
03,03360,2,1,1,2,5,71,2021-07-20 12:15:00,71,5
03,03361,2,0,0,2,5,10,2021-07-20 12:15:00,10,5
03,03401,1,1,1,1,0,16,2021-07-20 12:15:00,16,0
03,03402,1,0,0,1,5,10,2021-07-20 12:15:00,10,5
03,03403,6,0,0,3,10,107,2021-07-20 12:15:00,86,8
03,03404,4,0,0,3,13,95,2021-07-20 12:15:00,82,10
03,03405,2,0,0,1,10,22,2021-07-20 12:15:00,16,8
03,03451,3,0,0,2,4,29,2021-07-20 12:15:00,29,4
03,03452,4,0,0,3,9,26,2021-07-20 12:15:00,24,3
03,03453,3,1,0,3,6,18,2021-07-20 12:15:00,18,6
03,03454,10,1,0,6,35,52,2021-07-20 12:15:00,40,23
03,03455,2,0,0,2,10,23,2021-07-20 12:15:00,23,10
03,03456,1,1,0,1,6,19,2021-07-20 12:15:00,19,6
03,03457,6,0,0,4,15,14,2021-07-20 12:15:00,14,10
03,03458,1,0,0,1,0,7,2021-07-20 12:15:00,7,0
03,03459,7,1,0,6,20,84,2021-07-20 12:15:00,84,20
03,03460,5,0,0,3,7,24,2021-07-20 12:15:00,19,4
03,03461,2,0,0,2,3,12,2021-07-20 12:15:00,12,3
03,03462,1,0,0,1,2,6,2021-07-20 12:15:00,6,2
04,04011,9,1,1,8,16,148,2021-07-20 12:15:00,133,13
04,04012,4,0,0,3,18,39,2021-07-20 12:15:00,33,10
05,05111,14,4,2,11,34,265,2021-07-20 12:15:00,241,29
05,05112,16,0,0,9,36,152,2021-07-20 12:15:00,132,28
05,05113,15,6,4,12,44,329,2021-07-20 12:15:00,314,35
05,05114,7,0,0,4,17,69,2021-07-20 12:15:00,57,17
05,05116,6,0,0,4,11,78,2021-07-20 12:15:00,72,10
05,05117,2,0,0,2,1,31,2021-07-20 12:15:00,31,1
05,05119,7,0,0,4,16,63,2021-07-20 12:15:00,50,10
05,05120,1,0,0,1,1,25,2021-07-20 12:15:00,25,1
05,05122,4,8,5,3,11,66,2021-07-20 12:15:00,65,8
05,05124,7,3,3,5,37,111,2021-07-20 12:15:00,103,31
05,05154,8,1,1,5,20,51,2021-07-20 12:15:00,51,12
05,05158,7,0,0,6,17,52,2021-07-20 12:15:00,52,14
