bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,0,0,2,9,32,2021-08-02 12:15:00,30,5
01,01002,5,1,1,3,50,114,2021-08-02 12:15:00,111,47
01,01003,2,2,2,2,26,107,2021-08-02 12:15:00,107,26
01,01004,1,0,0,1,5,20,2021-08-02 12:15:00,20,5
01,01051,1,0,0,1,2,36,2021-08-02 12:15:00,36,2
01,01053,2,0,0,2,6,12,2021-08-02 12:15:00,12,6
01,01054,3,0,0,3,6,18,2021-08-02 12:15:00,18,6
01,01055,3,1,0,3,14,37,2021-08-02 12:15:00,37,14
01,01056,2,0,0,2,7,29,2021-08-02 12:15:00,29,7
01,01057,1,0,0,1,7,5,2021-08-02 12:15:00,5,7
01,01058,5,1,0,3,13,29,2021-08-02 12:15:00,28,8
01,01059,1,0,0,1,3,21,2021-08-02 12:15:00,21,3
01,01060,4,1,1,4,27,64,2021-08-02 12:15:00,64,27
01,01061,3,1,1,1,11,32,2021-08-02 12:15:00,23,7
01,01062,3,1,0,3,4,26,2021-08-02 12:15:00,26,4
02,02000,33,18,11,23,103,522,2021-08-02 12:15:00,440,78
03,03101,7,1,1,5,30,100,2021-08-02 12:15:00,86,27
03,03102,2,0,0,2,8,21,2021-08-02 12:15:00,21,8
03,03103,3,0,0,1,7,29,2021-08-02 12:15:00,23,1
03,03151,1,0,0,1,0,10,2021-08-02 12:15:00,10,0
03,03153,3,0,0,3,7,22,2021-08-02 12:15:00,22,7
03,03154,1,0,0,1,3,13,2021-08-02 12:15:00,13,3
03,03155,2,0,0,2,8,13,2021-08-02 12:15:00,13,8
03,03157,1,0,0,1,1,14,2021-08-02 12:15:00,14,1
03,03158,1,0,0,1,4,12,2021-08-02 12:15:00,12,4
03,03159,8,7,4,7,30,119,2021-08-02 12:15:00,101,28
03,03241,16,4,0,15,57,159,2021-08-02 12:15:00,142,54
03,03251,3,0,0,3,6,10,2021-08-02 12:15:00,10,6
03,03252,6,2,0,4,22,54,2021-08-02 12:15:00,53,17
03,03254,7,0,0,4,29,46,2021-08-02 12:15:00,42,22
03,03255,1,0,0,1,10,4,2021-08-02 12:15:00,4,10
03,03256,1,0,0,1,5,7,2021-08-02 12:15:00,7,5
03,03257,1,0,0,1,6,21,2021-08-02 12:15:00,21,6
03,03351,2,0,0,1,15,22,2021-08-02 12:15:00,14,13
03,03352,2,0,0,2,3,9,2021-08-02 12:15:00,9,3
03,03353,3,1,1,3,2,32,2021-08-02 12:15:00,32,2
03,03354,1,0,0,1,0,5,2021-08-02 12:15:00,5,0
03,03355,3,1,0,1,11,35,2021-08-02 12:15:00,25,4
03,03356,3,0,0,2,11,7,2021-08-02 12:15:00,7,11
03,03357,3,0,0,2,13,19,2021-08-02 12:15:00,18,10
03,03358,2,0,0,2,0,19,2021-08-02 12:15:00,19,0
03,03359,3,0,0,2,12,19,2021-08-02 12:15:00,19,9
03,03360,2,0,0,2,2,74,2021-08-02 12:15:00,74,2
03,03361,2,0,0,2,2,13,2021-08-02 12:15:00,13,2
03,03401,1,1,1,1,0,16,2021-08-02 12:15:00,16,0
03,03402,1,0,0,1,4,9,2021-08-02 12:15:00,9,4
03,03403,6,0,0,3,13,103,2021-08-02 12:15:00,83,8
03,03404,4,1,0,3,16,95,2021-08-02 12:15:00,81,14
03,03405,3,0,0,1,5,30,2021-08-02 12:15:00,22,0
03,03451,3,0,0,2,6,27,2021-08-02 12:15:00,27,6
03,03452,4,1,0,3,5,30,2021-08-02 12:15:00,25,2
03,03453,3,0,0,3,5,18,2021-08-02 12:15:00,18,5
03,03454,10,3,0,6,30,58,2021-08-02 12:15:00,50,15
03,03455,2,0,0,2,8,25,2021-08-02 12:15:00,25,8
03,03456,1,0,0,1,6,19,2021-08-02 12:15:00,19,6
03,03457,6,0,0,4,14,15,2021-08-02 12:15:00,13,11
03,03458,1,0,0,1,0,6,2021-08-02 12:15:00,6,0
03,03459,7,0,0,6,22,74,2021-08-02 12:15:00,74,22
03,03460,5,0,0,3,11,23,2021-08-02 12:15:00,21,5
03,03461,2,0,0,2,4,11,2021-08-02 12:15:00,11,4
03,03462,1,0,0,1,0,8,2021-08-02 12:15:00,8,0
04,04011,8,1,0,8,14,131,2021-08-02 12:15:00,131,14
04,04012,4,0,0,3,25,32,2021-08-02 12:15:00,27,16
05,05111,14,4,2,11,31,269,2021-08-02 12:15:00,244,27
05,05112,16,0,0,9,49,141,2021-08-02 12:15:00,119,42
05,05113,15,7,3,12,52,315,2021-08-02 12:15:00,296,47
05,05114,7,1,0,4,21,64,2021-08-02 12:15:00,53,21
05,05116,6,1,1,4,12,77,2021-08-02 12:15:00,71,11
05,05117,2,1,0,2,5,29,2021-08-02 12:15:00,29,5
05,05119,6,0,0,4,19,53,2021-08-02 12:15:00,44,9
05,05120,1,0,0,1,4,22,2021-08-02 12:15:00,22,4
05,05122,4,6,4,3,16,60,2021-08-02 12:15:00,57,15
05,05124,7,7,2,5,26,122,2021-08-02 12:15:00,111,23
05,05154,8,1,0,5,19,52,2021-08-02 12:15:00,52,11
05,05158,6,0,0,6,8,58,2021-08-02 12:15:00,58,8
05,05162,7,0,0,5,25,76,2021-08-02 12:15:00,69,18
05,05166,4,1,0,4,12,23,2021-08-02 12:15:00,23,12
05,05170,11,2,0,8,48,80,2021-08-02 12:15:00,78,39
05,05314,18,4,3,11,20,261,2021-08-02 12:15:00,202,17
05,05315,30,9,4,18,54,360,2021-08-02 12:15:00,301,53
05,05316,5,0,0,2,6,63,2021-08-02 12:15:00,47,4
05,05334,12,4,3,6,25,251,2021-08-02 12:15:00,235,21
05,05358,7,2,1,5,13,52,2021-08-02 12:15:00,46,11
05,05362,6,1,0,6,13,45,2021-08-02 12:15:00,45,13
05,05366,3,0,0,3,9,19,2021-08-02 12:15:00,19,9
05,05370,3,1,0,3,5,32,2021-08-02 12:15:00,32,5
05,05374,6,1,1,6,18,64,2021-08-02 12:15:00,64,18
05,05378,4,0,0,4,6,37,2021-08-02 12:15:00,37,6
05,05382,7,2,1,6,13,70,2021-08-02 12:15:00,61,10
05,05512,2,1,0,2,16,27,2021-08-02 12:15:00,27,16
05,05513,7,0,0,4,29,68,2021-08-02 12:15:00,60,11
05,05515,9,0,0,7,18,198,2021-08-02 12:15:00,191,13
05,05554,6,0,0,5,29,40,2021-08-02 12:15:00,40,27
05,05558,5,1,0,3,9,23,2021-08-02 12:15:00,13,9
05,05562,15,3,2,14,54,173,2021-08-02 12:15:00,146,49
05,05566,7,1,1,5,23,79,2021-08-02 12:15:00,72,15
05,05570,6,1,0,5,18,28,2021-08-02 12:15:00,28,16
