Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	745	457	61.3		
2020-04-23	753	470	62.4		
2020-04-24	783	515	65.8	5	0.6
2020-04-25	784	515	65.7	5	0.6
2020-04-26	767	504	65.7		
2020-04-27	774	497	64.2	6	0.8
2020-04-28	774	497	64.2	6	0.8
2020-04-29	810	543	67.0	6	0.7
2020-04-30	810	540	66.7	6	0.7
2020-05-01	836	534	63.9	6	0.7
2020-05-02	821	541	65.9	4	0.5
2020-05-03	790	497	62.9	4	0.5
2020-05-04	820	508	62.0	4	0.5
2020-05-05	838	566	67.5	5	0.6
2020-05-06	839	576	68.7	5	0.6
2020-05-07	830	578	69.6	4	0.5
2020-05-08	838	590	70.4	5	0.6
2020-05-09	847	595	70.2	3	0.4
2020-05-10	817	553	67.7	3	0.4
2020-05-11	790	509	64.4	3	0.4
2020-05-12	805	538	66.8	4	0.5
2020-05-13	834	587	70.4	5	0.6
2020-05-14	832	590	70.9	5	0.6
2020-05-15	818	573	70.0	4	0.5
2020-05-16	835	595	71.3	5	0.6
2020-05-17	839	572	68.2	5	0.6
2020-05-18	798	520	65.2	5	0.6
2020-05-19	840	566	67.4	5	0.6
2020-05-20	838	578	69.0	5	0.6
2020-05-21	819	550	67.2	5	0.6
2020-05-22	840	559	66.5	5	0.6
2020-05-23	822	564	68.6	4	0.5
2020-05-24	824	574	69.7	3	0.4
2020-05-25	813	536	65.9	2	0.2
2020-05-26	828	556	67.1	2	0.2
2020-05-27	835	600	71.9	2	0.2
2020-05-28	834	599	71.8	2	0.2
2020-05-29	833	605	72.6	2	0.2
2020-05-30	831	582	70.0	2	0.2
2020-05-31	830	555	66.9	2	0.2
2020-06-01	840	560	66.7	2	0.2
2020-06-02	817	548	67.1	2	0.2
2020-06-03	866	607	70.1	2	0.2
2020-06-04	866	618	71.4	2	0.2
2020-06-05	867	630	72.7	2	0.2
2020-06-06	865	609	70.4	1	0.1
2020-06-07	865	608	70.3	1	0.1
2020-06-08	854	575	67.3	2	0.2
2020-06-09	859	608	70.8	3	0.3
2020-06-11	869	634	73.0	3	0.3
2020-06-12	869	634	73.0	3	0.3
2020-06-13	867	612	70.6	2	0.2
2020-06-14	868	614	70.7	2	0.2
2020-06-15	866	578	66.7	2	0.2
2020-06-16	872	595	68.2	2	0.2
2020-06-17	865	620	71.7	2	0.2
2020-06-18	865	646	74.7	2	0.2
2020-06-19	869	644	74.1	2	0.2
2020-06-20	871	648	74.4	2	0.2
2020-06-21	873	635	72.7	2	0.2
2020-06-22	873	599	68.6	2	0.2
2020-06-23	874	577	66.0	2	0.2
2020-06-24	866	596	68.8	2	0.2
2020-06-25	872	598	68.6	2	0.2
2020-06-26	872	610	70.0	2	0.2
2020-06-27	874	637	72.9	2	0.2
2020-06-28	864	636	73.6	2	0.2
2020-06-29	875	612	69.9	2	0.2
2020-06-30	870	614	70.6	3	0.3
2020-07-01	883	630	71.3	2	0.2
2020-07-02	894	634	70.9	2	0.2
2020-07-03	899	630	70.1	2	0.2
2020-07-04	876	615	70.2	2	0.2
2020-07-05	872	614	70.4	2	0.2
2020-07-06	887	598	67.4	2	0.2
2020-07-07	876	601	68.6	2	0.2
2020-07-08	873	627	71.8	1	0.1
2020-07-09	879	627	71.3	1	0.1
2020-07-10	871	619	71.1	0	0.0
2020-07-11	877	621	70.8	0	0.0
2020-07-12	875	629	71.9	0	0.0
2020-07-13	877	617	70.4	0	0.0
2020-07-14	873	598	68.5	0	0.0
2020-07-15	883	645	73.0	0	0.0
2020-07-16	882	649	73.6	0	0.0
2020-07-17	871	655	75.2	0	0.0
2020-07-18	875	628	71.8	0	0.0
2020-07-19	869	619	71.2	0	0.0
2020-07-20	875	593	67.8	0	0.0
2020-07-21	876	605	69.1	0	0.0
2020-07-22	891	611	68.6	0	0.0
2020-07-23	877	630	71.8	0	0.0
2020-07-24	902	642	71.2	3	0.3
2020-07-25	902	653	72.4	0	0.0
2020-07-26	903	633	70.1	0	0.0
2020-07-27	896	599	66.9	0	0.0
2020-07-28	906	598	66.0	1	0.1
2020-07-29	907	630	69.5	0	0.0
2020-07-30	918	640	69.7	0	0.0
2020-07-31	900	620	68.9	0	0.0
2020-08-01	915	623	68.1	0	0.0
2020-08-02	914	626	68.5	0	0.0
2020-08-03	900	595	66.1	0	0.0
2020-08-04	908	593	65.3	0	0.0
2020-08-05	895	585	65.4	0	0.0
