Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	1371	754	55.0		
2020-04-23	1393	748	53.7		
2020-04-24	1383	762	55.1	104	7.5
2020-04-25	1386	761	54.9	103	7.4
2020-04-26	1381	710	51.4		
2020-04-27	1389	733	52.8	88	6.3
2020-04-28	1392	731	52.5	87	6.2
2020-04-29	1388	769	55.4	75	5.4
2020-04-30	1393	771	55.3	74	5.3
2020-05-01	1408	791	56.2	74	5.3
2020-05-02	1405	806	57.4	72	5.1
2020-05-03	1415	761	53.8	68	4.8
2020-05-04	1419	780	55.0	66	4.7
2020-05-05	1396	746	53.4	57	4.1
2020-05-06	1426	772	54.1	57	4.0
2020-05-07	1421	801	56.4	58	4.1
2020-05-08	1439	810	56.3	49	3.4
2020-05-09	1445	793	54.9	45	3.1
2020-05-10	1442	775	53.7	45	3.1
2020-05-11	1425	784	55.0	43	3.0
2020-05-12	1421	773	54.4	42	3.0
2020-05-13	1545	866	56.1	48	3.1
2020-05-14	1439	796	55.3	41	2.8
2020-05-15	1424	795	55.8	34	2.4
2020-05-16	1430	813	56.9	28	2.0
2020-05-17	1439	820	57.0	30	2.1
2020-05-18	1439	819	56.9	28	1.9
2020-05-19	1451	813	56.0	27	1.9
2020-05-20	1429	822	57.5	24	1.7
2020-05-21	1534	878	57.2	27	1.8
2020-05-22	1534	868	56.6	25	1.6
2020-05-23	1432	802	56.0	20	1.4
2020-05-24	1441	773	53.6	20	1.4
2020-05-25	1412	732	51.8	19	1.3
2020-05-26	1420	736	51.8	17	1.2
2020-05-27	1447	781	54.0	23	1.6
2020-05-28	1441	795	55.2	24	1.7
2020-05-29	1433	793	55.3	22	1.5
2020-05-30	1417	785	55.4	12	0.8
2020-05-31	1407	784	55.7	11	0.8
2020-06-01	1407	758	53.9	12	0.9
2020-06-02	1431	768	53.7	17	1.2
2020-06-03	1411	736	52.2	16	1.1
2020-06-04	1405	771	54.9	11	0.8
2020-06-05	1396	793	56.8	10	0.7
2020-06-06	1411	782	55.4	13	0.9
2020-06-07	1411	776	55.0	13	0.9
2020-06-08	1408	719	51.1	15	1.1
2020-06-09	1405	742	52.8	10	0.7
2020-06-11	1403	771	55.0	11	0.8
2020-06-12	1403	771	55.0	11	0.8
2020-06-13	1388	735	53.0	10	0.7
2020-06-14	1396	751	53.8	8	0.6
2020-06-15	1401	725	51.7	10	0.7
2020-06-16	1412	745	52.8	8	0.6
2020-06-17	1438	829	57.6	8	0.6
2020-06-18	1438	839	58.3	7	0.5
2020-06-19	1541	908	58.9	7	0.5
2020-06-20	1548	932	60.2	9	0.6
2020-06-21	1448	810	55.9	9	0.6
2020-06-22	1371	740	54.0	7	0.5
2020-06-23	1437	775	53.9	7	0.5
2020-06-24	1471	866	58.9	6	0.4
2020-06-25	1461	842	57.6	8	0.5
2020-06-26	1478	834	56.4	8	0.5
2020-06-27	1473	827	56.1	8	0.5
2020-06-28	1491	849	56.9	9	0.6
2020-06-29	1458	814	55.8	8	0.5
2020-06-30	1477	812	55.0	9	0.6
2020-07-01	1495	852	57.0	10	0.7
2020-07-02	1496	851	56.9	10	0.7
2020-07-03	1499	867	57.8	10	0.7
2020-07-04	1499	849	56.6	9	0.6
2020-07-05	1503	850	56.6	7	0.5
2020-07-06	1480	802	54.2	7	0.5
2020-07-07	1495	813	54.4	7	0.5
2020-07-08	1500	857	57.1	7	0.5
2020-07-09	1519	866	57.0	6	0.4
2020-07-10	1508	856	56.8	5	0.3
2020-07-11	1511	903	59.8	5	0.3
2020-07-12	1499	875	58.4	5	0.3
2020-07-13	1468	821	55.9	6	0.4
2020-07-14	1503	831	55.3	4	0.3
2020-07-15	1512	881	58.3	6	0.4
2020-07-16	1508	877	58.2	6	0.4
2020-07-17	1512	884	58.5	6	0.4
2020-07-18	1498	886	59.1	5	0.3
2020-07-19	1513	870	57.5	5	0.3
2020-07-20	1483	840	56.6	8	0.5
2020-07-21	1511	869	57.5	8	0.5
2020-07-22	1463	864	59.1	6	0.4
2020-07-23	1490	877	58.9	7	0.5
2020-07-24	1346	810	60.2	7	0.5
2020-07-25	1480	893	60.3	9	0.6
2020-07-26	1460	846	57.9	7	0.5
2020-07-27	1466	844	57.6	7	0.5
2020-07-28	1519	838	55.2	9	0.6
2020-07-29	1518	863	56.9	8	0.5
2020-07-30	1574	900	57.2	7	0.4
2020-07-31	1561	894	57.3	7	0.4
2020-08-01	1554	883	56.8	5	0.3
2020-08-02	1532	863	56.3	6	0.4
2020-08-03	1545	854	55.3	6	0.4
2020-08-04	1546	873	56.5	6	0.4
2020-08-05	1517	861	56.8	6	0.4
