Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	256	153	59.8		
2020-04-23	257	153	59.5		
2020-04-24	260	169	65.0	10	3.8
2020-04-25	246	158	64.2	10	4.1
2020-04-26	246	155	63.0		
2020-04-27	245	134	54.7	13	5.3
2020-04-28	245	134	54.7	13	5.3
2020-04-29	246	153	62.2	12	4.9
2020-04-30	247	159	64.4	12	4.9
2020-05-01	259	159	61.4	15	5.8
2020-05-02	270	168	62.2	14	5.2
2020-05-03	217	114	52.5	8	3.7
2020-05-04	221	113	51.1	8	3.6
2020-05-05	264	154	58.3	11	4.2
2020-05-06	264	154	58.3	9	3.4
2020-05-07	261	155	59.4	10	3.8
2020-05-08	262	149	56.9	11	4.2
2020-05-09	262	152	58.0	13	5.0
2020-05-10	219	126	57.5	9	4.1
2020-05-11	214	118	55.1	10	4.7
2020-05-12	262	150	57.3	13	5.0
2020-05-13	260	156	60.0	12	4.6
2020-05-14	218	126	57.8	7	3.2
2020-05-15	217	121	55.8	7	3.2
2020-05-16	223	124	55.6	10	4.5
2020-05-17	222	122	55.0	9	4.1
2020-05-18	204	109	53.4	4	2.0
2020-05-19	264	160	60.6	5	1.9
2020-05-20	260	162	62.3	9	3.5
2020-05-21	263	163	62.0	9	3.4
2020-05-22	258	162	62.8	10	3.9
2020-05-23	213	119	55.9	9	4.2
2020-05-24	213	117	54.9	6	2.8
2020-05-25	212	118	55.7	6	2.8
2020-05-26	216	121	56.0	7	3.2
2020-05-27	262	159	60.7	8	3.1
2020-05-28	258	153	59.3	8	3.1
2020-05-29	257	161	62.6	9	3.5
2020-05-30	254	154	60.6	11	4.3
2020-05-31	207	113	54.6	6	2.9
2020-06-01	208	119	57.2	4	1.9
2020-06-02	211	118	55.9	5	2.4
2020-06-03	211	111	52.6	5	2.4
2020-06-04	211	112	53.1	5	2.4
2020-06-05	211	120	56.9	5	2.4
2020-06-06	215	115	53.5	7	3.3
2020-06-07	215	113	52.6	7	3.3
2020-06-08	185	101	54.6	7	3.8
2020-06-09	260	155	59.6	9	3.5
2020-06-11	255	160	62.7	7	2.7
2020-06-12	255	160	62.7	7	2.7
2020-06-13	256	161	62.9	7	2.7
2020-06-14	258	147	57.0	7	2.7
2020-06-15	213	105	49.3	4	1.9
2020-06-16	262	149	56.9	9	3.4
2020-06-17	261	150	57.5	5	1.9
2020-06-18	216	111	51.4	3	1.4
2020-06-19	267	143	53.6	6	2.2
2020-06-20	258	155	60.1	7	2.7
2020-06-21	251	150	59.8	7	2.8
2020-06-22	199	119	59.8	5	2.5
2020-06-23	201	127	63.2	7	3.5
2020-06-24	202	121	59.9	5	2.5
2020-06-25	203	124	61.1	5	2.5
2020-06-26	202	123	60.9	4	2.0
2020-06-27	202	123	60.9	4	2.0
2020-06-28	202	112	55.4	6	3.0
2020-06-29	192	109	56.8	6	3.1
2020-06-30	214	110	51.4	5	2.3
2020-07-01	214	125	58.4	4	1.9
2020-07-02	206	125	60.7	5	2.4
2020-07-03	212	125	59.0	5	2.4
2020-07-04	184	116	63.0	6	3.3
2020-07-05	211	120	56.9	6	2.8
2020-07-06	212	117	55.2	5	2.4
2020-07-07	212	116	54.7	5	2.4
2020-07-08	212	117	55.2	5	2.4
2020-07-09	212	119	56.1	4	1.9
2020-07-10	212	117	55.2	4	1.9
2020-07-11	212	115	54.2	4	1.9
2020-07-12	212	112	52.8	3	1.4
2020-07-13	199	97	48.7	3	1.5
2020-07-14	212	106	50.0	3	1.4
2020-07-15	212	119	56.1	3	1.4
2020-07-16	212	119	56.1	3	1.4
2020-07-17	224	139	62.1	3	1.3
2020-07-18	231	144	62.3	5	2.2
2020-07-19	224	145	64.7	5	2.2
2020-07-20	214	140	65.4	7	3.3
2020-07-21	286	173	60.5	5	1.7
2020-07-22	259	167	64.5	5	1.9
2020-07-23	365	201	55.1	4	1.1
2020-07-24	363	207	57.0	4	1.1
2020-07-25	360	212	58.9	4	1.1
2020-07-26	360	202	56.1	5	1.4
2020-07-27	235	138	58.7	4	1.7
2020-07-28	308	171	55.5	4	1.3
2020-07-29	311	175	56.3	5	1.6
2020-07-30	311	174	55.9	5	1.6
2020-07-31	312	173	55.4	5	1.6
2020-08-01	331	200	60.4	5	1.5
2020-08-02	328	197	60.1	4	1.2
2020-08-03	324	193	59.6	4	1.2
2020-08-04	312	179	57.4	4	1.3
2020-08-05	299	172	57.5	4	1.3
