Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	31245	18607	59.6		
2020-04-23	33481	19196	57.3		
2020-04-24	32540	19621	60.3	2688	8.3
2020-04-25	32371	19442	60.1	2662	8.2
2020-04-26	32084	18866	58.8		
2020-04-27	32134	19084	59.4	2453	7.6
2020-04-28	32446	19230	59.3	2471	7.6
2020-04-29	32919	20048	60.9	2376	7.2
2020-04-30	32752	19910	60.8	2326	7.1
2020-05-01	32958	20024	60.8	2253	6.8
2020-05-02	32753	19864	60.6	2136	6.5
2020-05-03	31950	18845	59.0	1989	6.2
2020-05-04	31914	18886	59.2	1973	6.2
2020-05-05	32722	19970	61.0	1907	5.8
2020-05-06	32773	20131	61.4	1887	5.8
2020-05-07	32769	20358	62.1	1856	5.7
2020-05-08	32749	20328	62.1	1794	5.5
2020-05-09	32619	20159	61.8	1623	5.0
2020-05-10	32379	19788	61.1	1589	4.9
2020-05-11	31887	19189	60.2	1586	5.0
2020-05-12	32381	19724	60.9	1588	4.9
2020-05-13	32989	20555	62.3	1469	4.5
2020-05-14	32488	20346	62.6	1375	4.2
2020-05-15	32481	20251	62.3	1317	4.1
2020-05-16	32574	20628	63.3	1237	3.8
2020-05-17	32218	20088	62.4	1183	3.7
2020-05-18	31799	19359	60.9	1119	3.5
2020-05-19	32360	19720	60.9	1133	3.5
2020-05-20	32458	20589	63.4	1040	3.2
2020-05-21	32553	20576	63.2	1018	3.1
2020-05-22	32251	20276	62.9	967	3.0
2020-05-23	32281	19961	61.8	949	2.9
2020-05-24	32271	19863	61.6	915	2.8
2020-05-25	31603	19086	60.4	874	2.8
2020-05-26	32326	19701	60.9	861	2.7
2020-05-27	32550	20692	63.6	756	2.3
2020-05-28	32531	20670	63.5	745	2.3
2020-05-29	32408	20711	63.9	737	2.3
2020-05-30	32436	20550	63.4	721	2.2
2020-05-31	32057	20197	63.0	711	2.2
2020-06-01	31534	19371	61.4	675	2.1
2020-06-02	31673	19379	61.2	682	2.2
2020-06-03	32194	19890	61.8	680	2.1
2020-06-04	32271	20540	63.6	633	2.0
2020-06-05	32330	20964	64.8	599	1.9
2020-06-06	32311	20731	64.2	573	1.8
2020-06-07	32077	20545	64.0	564	1.8
2020-06-08	31430	19508	62.1	558	1.8
2020-06-09	32266	20331	63.0	539	1.7
2020-06-11	32449	21023	64.8	491	1.5
2020-06-12	32449	21023	64.8	491	1.5
2020-06-13	32176	20286	63.0	445	1.4
2020-06-14	31923	20130	63.1	452	1.4
2020-06-15	31454	19498	62.0	434	1.4
2020-06-16	32307	20043	62.0	434	1.3
2020-06-17	32361	20820	64.3	421	1.3
2020-06-18	32333	21045	65.1	411	1.3
2020-06-19	32456	21214	65.4	402	1.2
2020-06-20	32242	21157	65.6	376	1.2
2020-06-21	32145	20756	64.6	362	1.1
2020-06-22	31493	19747	62.7	350	1.1
2020-06-23	32347	20248	62.6	368	1.1
2020-06-24	32418	20930	64.6	354	1.1
2020-06-25	32558	21106	64.8	352	1.1
2020-06-26	32429	21054	64.9	356	1.1
2020-06-27	32340	21114	65.3	362	1.1
2020-06-28	32299	20902	64.7	346	1.1
2020-06-29	31710	20070	63.3	328	1.0
2020-06-30	32388	20509	63.3	330	1.0
2020-07-01	32633	21375	65.5	328	1.0
2020-07-02	32590	21398	65.7	332	1.0
2020-07-03	32478	21419	65.9	324	1.0
2020-07-04	32217	21243	65.9	323	1.0
2020-07-05	32325	20834	64.5	317	1.0
2020-07-06	31472	19696	62.6	291	0.9
2020-07-07	32383	20326	62.8	306	0.9
2020-07-08	32377	20874	64.5	299	0.9
2020-07-09	32239	20978	65.1	290	0.9
2020-07-10	32194	21006	65.2	277	0.9
2020-07-11	32310	21223	65.7	272	0.8
2020-07-12	32171	20841	64.8	251	0.8
2020-07-13	30845	19421	63.0	242	0.8
2020-07-14	32180	20210	62.8	266	0.8
2020-07-15	32482	21448	66.0	256	0.8
2020-07-16	32503	21460	66.0	248	0.8
2020-07-17	32473	21513	66.2	254	0.8
2020-07-18	32490	21490	66.1	248	0.8
2020-07-19	32241	20956	65.0	242	0.8
2020-07-20	31354	19953	63.6	232	0.7
2020-07-21	32470	20716	63.8	246	0.8
2020-07-22	32389	21115	65.2	255	0.8
2020-07-23	32515	21336	65.6	246	0.8
2020-07-24	32695	21400	65.5	236	0.7
2020-07-25	32836	21567	65.7	238	0.7
2020-07-26	32711	21264	65.0	248	0.8
2020-07-27	31885	20272	63.6	269	0.8
2020-07-28	32719	20704	63.3	259	0.8
2020-07-29	32574	21126	64.9	254	0.8
2020-07-30	33264	21759	65.4	264	0.8
2020-07-31	33265	21647	65.1	265	0.8
2020-08-01	33378	21704	65.0	268	0.8
2020-08-02	33189	21310	64.2	261	0.8
2020-08-03	32202	20311	63.1	264	0.8
2020-08-04	33172	20842	62.8	270	0.8
2020-08-05	32390	20369	62.9	267	0.8
