Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	1446	868	60.0		
2020-04-23	1467	886	60.4		
2020-04-24	1566	915	58.4	73	4.7
2020-04-25	1555	904	58.1	72	4.6
2020-04-26	1559	893	57.3		
2020-04-27	1597	942	59.0	70	4.4
2020-04-28	1597	941	58.9	70	4.4
2020-04-29	1665	1090	65.5	76	4.6
2020-04-30	1677	1075	64.1	74	4.4
2020-05-01	1666	1062	63.7	73	4.4
2020-05-02	1660	1038	62.5	72	4.3
2020-05-03	1604	983	61.3	66	4.1
2020-05-04	1598	935	58.5	63	3.9
2020-05-05	1692	1067	63.1	67	4.0
2020-05-06	1689	1053	62.3	67	4.0
2020-05-07	1767	1168	66.1	62	3.5
2020-05-08	1692	1110	65.6	63	3.7
2020-05-09	1686	1099	65.2	63	3.7
2020-05-10	1689	1069	63.3	62	3.7
2020-05-11	1672	1027	61.4	60	3.6
2020-05-12	1666	1025	61.5	60	3.6
2020-05-13	1724	1105	64.1	59	3.4
2020-05-14	1730	1119	64.7	58	3.4
2020-05-15	1739	1135	65.3	57	3.3
2020-05-16	1742	1169	67.1	54	3.1
2020-05-17	1687	1111	65.9	54	3.2
2020-05-18	1659	1052	63.4	51	3.1
2020-05-19	1745	1095	62.8	51	2.9
2020-05-20	1746	1100	63.0	46	2.6
2020-05-21	1751	1115	63.7	45	2.6
2020-05-22	1756	1140	64.9	49	2.8
2020-05-23	1763	1095	62.1	46	2.6
2020-05-24	1786	1097	61.4	45	2.5
2020-05-25	1625	989	60.9	43	2.6
2020-05-26	1752	1094	62.4	47	2.7
2020-05-27	1750	1149	65.7	37	2.1
2020-05-28	1753	1172	66.9	37	2.1
2020-05-29	1749	1184	67.7	39	2.2
2020-05-30	1752	1157	66.0	37	2.1
2020-05-31	1724	1148	66.6	33	1.9
2020-06-01	1715	1080	63.0	34	2.0
2020-06-02	1723	1059	61.5	32	1.9
2020-06-03	1747	1102	63.1	33	1.9
2020-06-04	1749	1131	64.7	32	1.8
2020-06-05	1742	1180	67.7	33	1.9
2020-06-06	1738	1168	67.2	30	1.7
2020-06-07	1738	1162	66.9	30	1.7
2020-06-08	1677	1056	63.0	29	1.7
2020-06-09	1744	1144	65.6	30	1.7
2020-06-11	1738	1199	69.0	30	1.7
2020-06-12	1738	1199	69.0	30	1.7
2020-06-13	1751	1187	67.8	29	1.7
2020-06-14	1749	1190	68.0	29	1.7
2020-06-15	1678	1070	63.8	29	1.7
2020-06-16	1753	1140	65.0	29	1.7
2020-06-17	1757	1206	68.6	31	1.8
2020-06-18	1735	1184	68.2	33	1.9
2020-06-19	1753	1208	68.9	33	1.9
2020-06-20	1758	1229	69.9	32	1.8
2020-06-21	1756	1194	68.0	35	2.0
2020-06-22	1743	1117	64.1	32	1.8
2020-06-23	1739	1101	63.3	32	1.8
2020-06-24	1758	1162	66.1	32	1.8
2020-06-25	1744	1178	67.5	34	1.9
2020-06-26	1740	1183	68.0	35	2.0
2020-06-27	1755	1204	68.6	37	2.1
2020-06-28	1736	1162	66.9	36	2.1
2020-06-29	1727	1105	64.0	35	2.0
2020-06-30	1762	1138	64.6	35	2.0
2020-07-01	1766	1189	67.3	33	1.9
2020-07-02	1765	1221	69.2	34	1.9
2020-07-03	1769	1227	69.4	35	2.0
2020-07-04	1767	1239	70.1	33	1.9
2020-07-05	1765	1211	68.6	33	1.9
2020-07-06	1655	1080	65.3	31	1.9
2020-07-07	1748	1135	64.9	30	1.7
2020-07-08	1736	1195	68.8	29	1.7
2020-07-09	1735	1210	69.7	27	1.6
2020-07-10	1728	1196	69.2	27	1.6
2020-07-11	1767	1240	70.2	29	1.6
2020-07-12	1688	1145	67.8	29	1.7
2020-07-13	1670	1072	64.2	29	1.7
2020-07-14	1746	1113	63.7	29	1.7
2020-07-15	1781	1225	68.8	29	1.6
2020-07-16	1785	1228	68.8	29	1.6
2020-07-17	1790	1247	69.7	30	1.7
2020-07-18	1801	1239	68.8	29	1.6
2020-07-19	1781	1213	68.1	28	1.6
2020-07-20	1742	1150	66.0	28	1.6
2020-07-21	1772	1199	67.7	27	1.5
2020-07-22	1793	1237	69.0	27	1.5
2020-07-23	1779	1219	68.5	27	1.5
2020-07-24	1784	1232	69.1	27	1.5
2020-07-25	1762	1219	69.2	27	1.5
2020-07-26	1736	1159	66.8	26	1.5
2020-07-27	1687	1106	65.6	27	1.6
2020-07-28	1746	1123	64.3	28	1.6
2020-07-29	1772	1190	67.2	26	1.5
2020-07-30	1765	1198	67.9	25	1.4
2020-07-31	1789	1220	68.2	25	1.4
2020-08-01	1770	1196	67.6	26	1.5
2020-08-02	1782	1159	65.0	25	1.4
2020-08-03	1633	1043	63.9	26	1.6
2020-08-04	1784	1145	64.2	26	1.5
2020-08-05	1771	1135	64.1	26	1.5
