Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent
-355	2020-01-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-354	2020-01-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-353	2020-01-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-352	2020-01-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-351	2020-01-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-350	2020-01-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-349	2020-01-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-348	2020-01-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-347	2020-01-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-346	2020-01-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-345	2020-01-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-344	2020-01-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-343	2020-01-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-342	2020-01-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-341	2020-01-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-340	2020-01-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-339	2020-01-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-338	2020-01-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-337	2020-01-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-336	2020-01-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-335	2020-01-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-334	2020-01-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-333	2020-01-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-332	2020-01-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-331	2020-01-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-330	2020-01-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-329	2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-328	2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-327	2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-326	2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-325	2020-02-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-324	2020-02-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-323	2020-02-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-322	2020-02-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-321	2020-02-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-320	2020-02-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-319	2020-02-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-318	2020-02-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-317	2020-02-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-316	2020-02-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-315	2020-02-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-314	2020-02-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-313	2020-02-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-312	2020-02-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-311	2020-02-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-310	2020-02-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-309	2020-02-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-308	2020-02-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-307	2020-02-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-306	2020-02-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-305	2020-02-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-304	2020-02-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-303	2020-02-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-302	2020-02-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-301	2020-02-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-300	2020-02-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-299	2020-02-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-298	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-297	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-296	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-295	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-294	2020-03-03	1	0	1	0	1	0	2	0	2	0.0	2	0.0		
-293	2020-03-04	1	0	0	0	1	0	2	0	0	0.0	2	0.0		
-292	2020-03-05	1	0	0	0	1	0	2	0	0	0.0	2	0.0		
-291	2020-03-06	1	0	0	0	1	0	2	0	0	0.0	2	0.0		
-290	2020-03-07	1	0	0	0	1	0	2	0	0	0.0	2	0.0		
-289	2020-03-08	1	0	0	0	1	0	2	0	0	0.0	2	0.0		
-288	2020-03-09	2	0	1	0	2	0	4	0	2	0.0	4	0.0		
-287	2020-03-10	3	0	1	0	2	0	7	0	2	0.0	4	0.0		
-286	2020-03-11	10	0	7	0	9	0	23	0	16	0.0	21	0.0		
-285	2020-03-12	18	0	8	0	17	0	42	0	19	0.0	40	0.0		
-284	2020-03-13	28	0	10	0	27	0	66	0	23	0.0	64	0.0		
-283	2020-03-14	39	0	11	0	38	0	92	0	26	0.0	90	0.0		
-282	2020-03-15	39	0	0	0	38	0	92	0	0	0.0	90	0.0		
-281	2020-03-16	42	0	3	0	40	0	99	0	7	0.0	95	0.0		
-280	2020-03-17	56	0	14	0	53	0	133	0	33	0.0	126	0.0		
-279	2020-03-18	69	0	13	0	59	0	164	0	30	0.0	140	0.0		
-278	2020-03-19	73	0	4	0	55	0	173	0	9	0.0	130	0.0		
-277	2020-03-20	79	0	6	0	51	0	187	0	14	0.0	121	0.0		
-276	2020-03-21	82	0	3	0	43	0	194	0	7	0.0	102	0.0		
-275	2020-03-22	84	0	2	0	45	0	199	0	4	0.0	107	0.0		
-274	2020-03-23	93	1	9	1	51	1	221	2	21	2.378	121	2.38		
-273	2020-03-24	99	1	6	0	43	1	235	2	14	0.0	102	2.38		
-272	2020-03-25	114	2	15	1	45	2	271	4	35	2.378	107	4.76		
-271	2020-03-26	133	2	19	0	60	2	316	4	45	0.0	142	4.76		
-270	2020-03-27	149	2	16	0	70	2	354	4	38	0.0	166	4.76		
-269	2020-03-28	165	2	16	0	83	2	392	4	38	0.0	197	4.76		
-268	2020-03-29	169	4	4	2	85	4	401	9	9	4.756	202	9.51		
-267	2020-03-30	186	8	17	4	93	7	442	19	40	9.511	221	16.64		
-266	2020-03-31	203	9	17	1	104	8	482	21	40	2.378	247	19.02		
-265	2020-04-01	225	10	22	1	111	8	535	23	52	2.378	263	19.02		
-264	2020-04-02	239	10	14	0	106	8	568	23	33	0.0	252	19.02		
-263	2020-04-03	261	11	22	1	112	9	620	26	52	2.378	266	21.4		
-262	2020-04-04	275	11	14	0	110	9	653	26	33	0.0	261	21.4		
-261	2020-04-05	276	11	1	0	107	7	656	26	2	0.0	254	16.64		
-260	2020-04-06	289	14	13	3	103	6	687	33	30	7.133	244	14.27		
-259	2020-04-07	313	17	24	3	110	8	744	40	57	7.133	261	19.02		
-258	2020-04-08	332	17	19	0	107	7	789	40	45	0.0	254	16.64		
-257	2020-04-09	345	18	13	1	106	8	820	42	30	2.378	252	19.02		
-256	2020-04-10	355	19	10	1	94	8	844	45	23	2.378	223	19.02		
-255	2020-04-11	377	23	22	4	102	12	896	54	52	9.511	242	28.53		
-254	2020-04-12	382	23	5	0	106	12	908	54	11	0.0	252	28.53		
-253	2020-04-13	386	24	4	1	97	10	917	57	9	2.378	230	23.78		
-252	2020-04-14	398	26	12	2	85	9	946	61	28	4.756	202	21.4		
-251	2020-04-15	423	27	25	1	91	10	1005	64	59	2.378	216	23.78		
-250	2020-04-16	445	30	22	3	100	12	1058	71	52	7.133	237	28.53		
-249	2020-04-17	468	34	23	4	113	15	1112	80	54	9.511	268	35.67		
-248	2020-04-18	491	39	23	5	114	16	1167	92	54	11.889	271	38.05		
-247	2020-04-19	493	40	2	1	111	17	1172	95	4	2.378	263	40.42		
-246	2020-04-20	504	40	11	0	118	16	1198	95	26	0.0	280	38.05		
-245	2020-04-21	532	43	28	3	134	17	1265	102	66	7.133	318	40.42		
-244	2020-04-22	550	43	18	0	127	16	1307	102	42	0.0	301	38.05		
-243	2020-04-23	552	43	2	0	107	13	1312	102	4	0.0	254	30.91		
-242	2020-04-24	562	43	10	0	94	9	1336	102	23	0.0	223	21.4		
-241	2020-04-25	573	44	11	1	82	5	1362	104	26	2.378	194	11.89		
-240	2020-04-26	578	44	5	0	85	4	1374	104	11	0.0	202	9.51	23.3	68.9
-239	2020-04-27	581	44	3	0	77	4	1381	104	7	0.0	183	9.51	18.9	70.0
-238	2020-04-28	597	46	16	2	65	3	1419	109	38	4.756	154	7.13	18.9	70.0
-237	2020-04-29	606	46	9	0	56	3	1440	109	21	0.0	133	7.13	17.8	70.0
-236	2020-04-30	615	47	9	1	63	4	1462	111	21	2.378	149	9.51	18.9	62.2
-235	2020-05-01	629	47	14	0	67	4	1495	111	33	0.0	159	9.51	16.7	54.4
-234	2020-05-02	630	47	1	0	57	3	1498	111	2	0.0	135	7.13	14.4	55.6
-233	2020-05-03	632	47	2	0	54	3	1502	111	4	0.0	128	7.13	16.5	55.7
-232	2020-05-04	634	47	2	0	53	3	1507	111	4	0.0	126	7.13	15.2	62.0
-231	2020-05-05	636	47	2	0	39	1	1512	111	4	0.0	92	2.38	13.5	66.3
-230	2020-05-06	642	48	6	1	36	2	1526	114	14	2.378	85	4.76	12.2	68.9
-229	2020-05-07	646	48	4	0	31	1	1536	114	9	0.0	73	2.38	12.2	65.6
-228	2020-05-08	657	49	11	1	28	2	1562	116	26	2.378	66	4.76	11.1	54.4
-227	2020-05-09	662	49	5	0	32	2	1574	116	11	0.0	76	4.76	8.9	65.6
-226	2020-05-10	662	49	0	0	30	2	1574	116	0	0.0	71	4.76	8.9	63.3
-225	2020-05-11	665	49	3	0	31	2	1581	116	7	0.0	73	4.76	8.8	64.8
-224	2020-05-12	671	50	6	1	35	3	1595	118	14	2.378	83	7.13	6.6	61.5
-223	2020-05-13	678	50	7	0	36	2	1612	118	16	0.0	85	4.76	7.5	59.1
-222	2020-05-14	682	50	4	0	36	2	1621	118	9	0.0	85	4.76	4.5	57.3
-221	2020-05-15	686	50	4	0	29	1	1631	118	9	0.0	68	2.38	5.5	56.0
-220	2020-05-16	687	50	1	0	25	1	1633	118	2	0.0	59	2.38	4.3	59.1
-219	2020-05-17	691	50	4	0	29	1	1643	118	9	0.0	68	2.38	4.3	57.0
-218	2020-05-18	697	50	6	0	32	1	1657	118	14	0.0	76	2.38	4.9	62.2
-217	2020-05-19	697	50	0	0	26	0	1657	118	0	0.0	61	0.0	4.3	54.8
-216	2020-05-20	706	50	9	0	28	0	1678	118	21	0.0	66	0.0	6.9	69.6
-215	2020-05-21	710	50	4	0	28	0	1688	118	9	0.0	66	0.0	5.9	68.6
-214	2020-05-22	718	50	8	0	32	0	1707	118	19	0.0	76	0.0	5.0	72.3
-213	2020-05-23	723	50	5	0	36	0	1719	118	11	0.0	85	0.0	4.3	70.7
-212	2020-05-24	723	50	0	0	32	0	1719	118	0	0.0	76	0.0	5.4	69.6
-211	2020-05-25	723	50	0	0	26	0	1719	118	0	0.0	61	0.0	4.3	63.4
-210	2020-05-26	739	50	16	0	42	0	1757	118	38	0.0	99	0.0	4.3	64.1
-209	2020-05-27	739	50	0	0	33	0	1757	118	0	0.0	78	0.0	2.0	67.0
-208	2020-05-28	744	50	5	0	34	0	1769	118	11	0.0	80	0.0	3.0	62.0
-207	2020-05-29	751	50	7	0	33	0	1785	118	16	0.0	78	0.0	4.0	63.4
-206	2020-05-30	752	50	1	0	29	0	1788	118	2	0.0	68	0.0	4.0	70.3
-205	2020-05-31	752	50	0	0	29	0	1788	118	0	0.0	68	0.0	5.4	68.5
-204	2020-06-01	752	50	0	0	29	0	1788	118	0	0.0	68	0.0	3.2	66.7
-203	2020-06-02	752	50	0	0	13	0	1788	118	0	0.0	30	0.0	3.3	63.0
-202	2020-06-03	755	50	3	0	16	0	1795	118	7	0.0	38	0.0	2.2	62.0
-201	2020-06-04	756	50	1	0	12	0	1797	118	2	0.0	28	0.0	2.0	62.7
-200	2020-06-05	756	50	0	0	5	0	1797	118	0	0.0	11	0.0	2.0	68.0
-199	2020-06-06	757	50	1	0	5	0	1800	118	2	0.0	11	0.0	2.0	65.0
-198	2020-06-07	758	50	1	0	6	0	1802	118	2	0.0	14	0.0	2.0	64.4
-197	2020-06-08	758	50	0	0	6	0	1802	118	0	0.0	14	0.0	3.0	67.3
-196	2020-06-09	759	50	1	0	7	0	1804	118	2	0.0	16	0.0	2.0	72.3
-195	2020-06-10	759	50	0	0	4	0	1804	118	0	0.0	9	0.0	2.0	73.0
-194	2020-06-11	760	50	1	0	4	0	1807	118	2	0.0	9	0.0	1.0	66.0
-193	2020-06-12	760	50	0	0	4	0	1807	118	0	0.0	9	0.0	1.0	64.4
-192	2020-06-13	761	50	1	0	4	0	1809	118	2	0.0	9	0.0	1.1	61.8
-191	2020-06-14	761	50	0	0	3	0	1809	118	0	0.0	7	0.0	1.1	61.8
-190	2020-06-15	761	50	0	0	3	0	1809	118	0	0.0	7	0.0	2.2	68.5
-189	2020-06-16	761	50	0	0	2	0	1809	118	0	0.0	4	0.0	2.0	68.0
-188	2020-06-17	761	50	0	0	2	0	1809	118	0	0.0	4	0.0	2.0	69.0
-187	2020-06-18	761	50	0	0	1	0	1809	118	0	0.0	2	0.0	2.0	64.0
-186	2020-06-19	764	50	3	0	4	0	1816	118	7	0.0	9	0.0	1.0	63.0
-185	2020-06-20	764	50	0	0	3	0	1816	118	0	0.0	7	0.0	1.0	65.4
-184	2020-06-21	764	50	0	0	3	0	1816	118	0	0.0	7	0.0	1.0	65.4
-183	2020-06-22	764	50	0	0	3	0	1816	118	0	0.0	7	0.0	1.0	63.8
-182	2020-06-23	772	50	8	0	11	0	1835	118	19	0.0	26	0.0	1.0	66.0
-181	2020-06-24	773	50	1	0	12	0	1838	118	2	0.0	28	0.0	1.0	65.7
-180	2020-06-25	775	50	2	0	14	0	1842	118	4	0.0	33	0.0	1.2	80.7
-179	2020-06-26	778	50	3	0	14	0	1849	118	7	0.0	33	0.0	1.2	83.8
-178	2020-06-27	783	50	5	0	19	0	1861	118	11	0.0	45	0.0	0.0	84.1
-177	2020-06-28	783	50	0	0	19	0	1861	118	0	0.0	45	0.0	0.0	75.9
-176	2020-06-29	783	50	0	0	19	0	1861	118	0	0.0	45	0.0	0.0	75.6
-175	2020-06-30	788	50	5	0	16	0	1873	118	11	0.0	38	0.0	0.0	74.4
-174	2020-07-01	796	50	8	0	23	0	1892	118	19	0.0	54	0.0	0.0	79.3
-173	2020-07-02	800	50	4	0	25	0	1902	118	9	0.0	59	0.0	0.0	84.1
-172	2020-07-03	804	51	4	1	26	1	1911	121	9	2.378	61	2.38	0.0	83.1
-171	2020-07-04	805	51	1	0	22	1	1914	121	2	0.0	52	2.38	1.2	80.5
-170	2020-07-05	805	51	0	0	22	1	1914	121	0	0.0	52	2.38	1.2	85.4
-169	2020-07-06	807	51	2	0	24	1	1918	121	4	0.0	57	2.38	0.0	84.1
-168	2020-07-07	808	51	1	0	20	1	1921	121	2	0.0	47	2.38	0.0	76.8
-167	2020-07-08	812	51	4	0	16	1	1930	121	9	0.0	38	2.38	0.0	85.4
-166	2020-07-09	814	51	2	0	14	1	1935	121	4	0.0	33	2.38	0.0	84.1
-165	2020-07-10	815	51	1	0	11	0	1937	121	2	0.0	26	0.0	1.2	86.2
-164	2020-07-11	815	51	0	0	10	0	1937	121	0	0.0	23	0.0	1.2	86.4
-163	2020-07-12	816	51	1	0	11	0	1940	121	2	0.0	26	0.0	1.3	86.1
-162	2020-07-13	817	51	1	0	10	0	1942	121	2	0.0	23	0.0	1.2	81.2
