Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_invasiv_beatmet	faelle_covid_aktuell_beatmet_proz
2020-04-24	126	65	51.6	5	4.0	4	80.0
2020-04-25	124	60	48.4	4	3.2	4	100.0
2020-04-26	111	39	35.1	4	3.6	4	100.0
2020-04-27	140	54	38.6	4	2.9	4	100.0
2020-04-28	145	57	39.3	5	3.4	5	100.0
2020-04-29	124	55	44.4	5	4.0	5	100.0
2020-04-30	124	61	49.2	4	3.2	3	75.0
2020-05-01	119	50	42.0	4	3.4	4	100.0
2020-05-02	130	65	50.0	4	3.1	4	100.0
2020-05-03	120	59	49.2	4	3.3	4	100.0
2020-05-04	123	61	49.6	4	3.3	3	75.0
2020-05-05	120	65	54.2	4	3.3	3	75.0
2020-05-06	123	66	53.7	4	3.3	1	25.0
2020-05-07	124	59	47.6	4	3.2	1	25.0
2020-05-08	122	60	49.2	5	4.1	1	20.0
2020-05-09	125	70	56.0	4	3.2	1	25.0
2020-05-10	120	69	57.5	4	3.3	1	25.0
2020-05-11	111	65	58.6	3	2.7	1	33.3
2020-05-12	125	71	56.8	4	3.2	2	50.0
2020-05-13	128	78	60.9	4	3.1	2	50.0
2020-05-14	116	64	55.2	4	3.4	3	75.0
2020-05-15	135	70	51.9	2	1.5	2	100.0
2020-05-16	122	76	62.3	3	2.5	3	100.0
2020-05-17	120	68	56.7	3	2.5	3	100.0
2020-05-18	123	69	56.1	3	2.4	3	100.0
2020-05-19	122	74	60.7	3	2.5	3	100.0
2020-05-20	127	67	52.8	3	2.4	2	66.7
2020-05-21	125	69	55.2	3	2.4	1	33.3
2020-05-22	117	59	50.4	3	2.6	1	33.3
2020-05-23	125	59	47.2	2	1.6	1	50.0
2020-05-24	129	66	51.2	2	1.6	1	50.0
2020-05-25	123	67	54.5	2	1.6	1	50.0
2020-05-26	125	64	51.2	2	1.6	1	50.0
2020-05-27	124	64	51.6	2	1.6	1	50.0
2020-05-28	124	72	58.1	2	1.6	1	50.0
2020-05-29	109	60	55.0	3	2.8	2	66.7
2020-05-30	111	57	51.4	4	3.6	3	75.0
2020-05-31	111	56	50.5	4	3.6	3	75.0
2020-06-01	108	60	55.6	4	3.7	3	75.0
2020-06-02	121	64	52.9	4	3.3	3	75.0
2020-06-03	123	68	55.3	4	3.3	3	75.0
2020-06-04	124	66	53.2	4	3.2	3	75.0
2020-06-05	118	69	58.5	4	3.4	3	75.0
2020-06-06	121	69	57.0	4	3.3	3	75.0
2020-06-07	121	69	57.0	4	3.3	3	75.0
2020-06-08	125	70	56.0	4	3.2	2	50.0
2020-06-09	118	65	55.1	4	3.4	2	50.0
2020-06-10	124	69	55.6	3	2.4	1	33.3
2020-06-11	124	66	53.2	3	2.4	2	66.7
2020-06-12	111	60	54.1	3	2.7	2	66.7
2020-06-13	110	55	50.0	4	3.6	1	25.0
2020-06-14	110	58	52.7	4	3.6	1	25.0
2020-06-15	110	62	56.4	4	3.6	1	25.0
2020-06-16	109	64	58.7	4	3.7	1	25.0
2020-06-17	107	65	60.7	4	3.7	1	25.0
2020-06-18	107	64	59.8	4	3.7	1	25.0
2020-06-19	112	66	58.9	5	4.5	2	40.0
2020-06-20	108	57	52.8	4	3.7	3	75.0
2020-06-21	106	54	50.9	4	3.8	3	75.0
2020-06-22	107	61	57.0	4	3.7	3	75.0
2020-06-23	119	62	52.1	3	2.5	0	0.0
2020-06-24	117	69	59.0	3	2.6	1	33.3
2020-06-25	116	62	53.4	3	2.6	1	33.3
2020-06-26	116	68	58.6	4	3.4	0	0.0
2020-06-27	116	69	59.5	3	2.6	0	0.0
2020-06-28	115	63	54.8	3	2.6	0	0.0
2020-06-29	120	62	51.7	3	2.5	0	0.0
2020-06-30	109	56	51.4	3	2.8	0	0.0
2020-07-01	109	66	60.6	3	2.8	0	0.0
2020-07-02	111	63	56.8	3	2.7	0	0.0
2020-07-03	115	56	48.7	3	2.6	0	0.0
2020-07-04	114	53	46.5	3	2.6	1	33.3
2020-07-05	110	53	48.2	3	2.7	1	33.3
2020-07-06	107	47	43.9	3	2.8	1	33.3
2020-07-07	108	48	44.4	4	3.7	2	50.0
2020-07-08	114	63	55.3	5	4.4	2	40.0
2020-07-09	107	56	52.3	4	3.7	2	50.0
2020-07-10	100	67	67.0	4	4.0	2	50.0
2020-07-11	115	74	64.3	4	3.5	2	50.0
2020-07-12	113	67	59.3	4	3.5	2	50.0
2020-07-13	116	62	53.4	4	3.4	2	50.0
2020-07-14	117	66	56.4	4	3.4	2	50.0
2020-07-15	116	64	55.2	4	3.4	2	50.0
2020-07-16	122	60	49.2	4	3.3	2	50.0
2020-07-17	119	66	55.5	4	3.4	2	50.0
2020-07-18	139	79	56.8	8	5.8	1	12.5
2020-07-19	139	83	59.7	8	5.8	1	12.5
2020-07-20	142	84	59.2	8	5.6	2	25.0
2020-07-21	142	87	61.3	8	5.6	2	25.0
2020-07-22	143	81	56.6	8	5.6	2	25.0
2020-07-23	137	85	62.0	5	3.6	3	60.0
2020-07-24	142	75	52.8	4	2.8	3	75.0
2020-07-25	142	71	50.0	4	2.8	3	75.0
2020-07-26	145	78	53.8	4	2.8	3	75.0
2020-07-27	143	81	56.6	4	2.8	3	75.0
2020-07-28	143	84	58.7	4	2.8	3	75.0
2020-07-29	144	86	59.7	3	2.1	1	33.3
2020-07-30	134	84	62.7	3	2.2	1	33.3
2020-07-31	128	73	57.0	2	1.6	0	0.0
2020-08-01	145	80	55.2	2	1.4	0	0.0
2020-08-02	148	89	60.1	2	1.4	0	0.0
2020-08-03	145	80	55.2	2	1.4	0	0.0
2020-08-04	123	86	69.9	2	1.6	0	0.0
2020-08-05	123	80	65.0	2	1.6	0	0.0
2020-08-06	123	79	64.2	2	1.6	0	0.0
2020-08-07	123	88	71.5	3	2.4	0	0.0
2020-08-08	132	92	69.7	2	1.5	0	0.0
2020-08-09	132	91	68.9	2	1.5	0	0.0
2020-08-10	133	95	71.4	2	1.5	0	0.0
2020-08-11	134	94	70.1	2	1.5	0	0.0
2020-08-12	135	83	61.5	2	1.5	0	0.0
2020-08-13	134	87	64.9	2	1.5	0	0.0
2020-08-14	132	87	65.9	2	1.5	0	0.0
2020-08-15	119	88	73.9	0	0.0	0	0
2020-08-16	120	83	69.2	0	0.0	0	0
2020-08-17	133	89	66.9	2	1.5	0	0.0
2020-08-18	130	95	73.1	2	1.5	0	0.0
2020-08-19	133	98	73.7	2	1.5	0	0.0
2020-08-20	130	99	76.2	2	1.5	0	0.0
2020-08-21	130	98	75.4	2	1.5	0	0.0
2020-08-22	130	99	76.2	2	1.5	0	0.0
2020-08-23	130	99	76.2	2	1.5	0	0.0
2020-08-24	119	87	73.1	2	1.7	0	0.0
2020-08-25	119	88	73.9	2	1.7	0	0.0
2020-08-26	119	88	73.9	2	1.7	0	0.0
2020-08-27	120	87	72.5	2	1.7	0	0.0
2020-08-28	120	73	60.8	2	1.7	0	0.0
2020-08-29	119	84	70.6	2	1.7	0	0.0
2020-08-30	119	82	68.9	2	1.7	0	0.0
2020-08-31	122	89	73.0	2	1.6	0	0.0
2020-09-01	120	91	75.8	2	1.7	0	0.0
2020-09-02	121	91	75.2	1	0.8	0	0.0
2020-09-03	120	88	73.3	2	1.7	0	0.0
2020-09-04	120	83	69.2	1	0.8	0	0.0
2020-09-05	120	86	71.7	1	0.8	0	0.0
2020-09-06	120	81	67.5	1	0.8	0	0.0
2020-09-07	120	81	67.5	1	0.8	0	0.0
2020-09-08	120	82	68.3	1	0.8	0	0.0
2020-09-09	120	86	71.7	1	0.8	0	0.0
2020-09-10	120	86	71.7	0	0.0	0	0
2020-09-11	120	81	67.5	0	0.0	0	0
2020-09-12	117	79	67.5	0	0.0	0	0
2020-09-13	120	82	68.3	0	0.0	0	0
2020-09-14	120	81	67.5	0	0.0	0	0
2020-09-15	120	84	70.0	0	0.0	0	0
2020-09-16	120	87	72.5	0	0.0	0	0
2020-09-17	131	88	67.2	1	0.8	0	0.0
2020-09-18	130	83	63.8	1	0.8	0	0.0
2020-09-19	129	79	61.2	1	0.8	0	0.0
2020-09-20	131	75	57.3	2	1.5	0	0.0
2020-09-21	131	85	64.9	1	0.8	0	0.0
2020-09-22	136	86	63.2	1	0.7	0	0.0
2020-09-23	131	81	61.8	1	0.8	0	0.0
2020-09-24	122	77	63.1	0	0.0	0	0
2020-09-25	127	83	65.4	0	0.0	0	0
2020-09-26	126	82	65.1	1	0.8	0	0.0
2020-09-27	129	83	64.3	1	0.8	0	0.0
2020-09-28	133	84	63.2	0	0.0	0	0
2020-09-29	136	88	64.7	0	0.0	0	0
2020-09-30	136	88	64.7	0	0.0	0	0
2020-10-01	131	85	64.9	0	0.0	0	0
2020-10-02	128	86	67.2	0	0.0	0	0
2020-10-03	124	79	63.7	0	0.0	0	0
2020-10-04	117	78	66.7	0	0.0	0	0
2020-10-05	117	82	70.1	0	0.0	0	0
2020-10-06	118	85	72.0	2	1.7	1	50.0
2020-10-07	118	89	75.4	2	1.7	1	50.0
2020-10-08	117	92	78.6	2	1.7	1	50.0
2020-10-09	124	96	77.4	2	1.6	1	50.0
2020-10-10	122	88	72.1	2	1.6	1	50.0
2020-10-11	122	88	72.1	2	1.6	1	50.0
2020-10-12	127	82	64.6	2	1.6	1	50.0
2020-10-13	127	82	64.6	4	3.1	1	25.0
2020-10-14	127	89	70.1	5	3.9	1	20.0
2020-10-15	127	90	70.9	4	3.1	1	25.0
2020-10-16	124	84	67.7	4	3.2	3	75.0
2020-10-17	124	87	70.2	4	3.2	3	75.0
2020-10-18	124	84	67.7	4	3.2	3	75.0
2020-10-19	127	89	70.1	4	3.1	3	75.0
2020-10-20	127	92	72.4	4	3.1	2	50.0
2020-10-21	127	91	71.7	5	3.9	3	60.0
2020-10-22	124	93	75.0	6	4.8	3	50.0
2020-10-23	122	96	78.7	5	4.1	3	60.0
2020-10-24	122	93	76.2	5	4.1	3	60.0
2020-10-25	121	84	69.4	6	5.0	3	50.0
2020-10-26	118	75	63.6	6	5.1	3	50.0
2020-10-27	120	78	65.0	5	4.2	2	40.0
2020-10-28	120	82	68.3	3	2.5	2	66.7
2020-10-29	120	83	69.2	5	4.2	2	40.0
2020-10-30	118	83	70.3	10	8.5	3	30.0
2020-10-31	116	77	66.4	9	7.8	3	33.3
2020-11-01	114	80	70.2	9	7.9	4	44.4
2020-11-02	118	74	62.7	10	8.5	5	50.0
2020-11-03	121	79	65.3	9	7.4	4	44.4
2020-11-04	121	84	69.4	10	8.3	5	50.0
2020-11-05	118	81	68.6	12	10.2	5	41.7
2020-11-06	125	90	72.0	11	8.8	5	45.5
2020-11-07	125	89	71.2	11	8.8	4	36.4
2020-11-08	125	88	70.4	11	8.8	6	54.5
2020-11-09	125	85	68.0	11	8.8	6	54.5
2020-11-10	125	85	68.0	11	8.8	5	45.5
2020-11-11	125	86	68.8	11	8.8	6	54.5
2020-11-12	127	88	69.3	12	9.4	6	50.0
2020-11-13	116	79	68.1	13	11.2	5	38.5
2020-11-14	116	77	66.4	12	10.3	5	41.7
2020-11-15	126	79	62.7	9	7.1	3	33.3
2020-11-16	127	78	61.4	9	7.1	3	33.3
2020-11-17	128	81	63.3	9	7.0	2	22.2
2020-11-18	128	88	68.8	12	9.4	2	16.7
2020-11-19	130	89	68.5	13	10.0	3	23.1
2020-11-20	130	98	75.4	15	11.5	2	13.3
2020-11-21	130	91	70.0	14	10.8	1	7.1
2020-11-22	139	91	65.5	13	9.4	1	7.7
2020-11-23	130	87	66.9	12	9.2	1	8.3
2020-11-24	130	84	64.6	11	8.5	1	9.1
2020-11-25	130	94	72.3	11	8.5	1	9.1
2020-11-26	130	92	70.8	10	7.7	1	10.0
2020-11-27	130	91	70.0	10	7.7	1	10.0
2020-11-28	130	90	69.2	11	8.5	2	18.2
2020-11-29	130	91	70.0	11	8.5	2	18.2
2020-11-30	130	94	72.3	11	8.5	2	18.2
2020-12-01	130	90	69.2	11	8.5	2	18.2
2020-12-02	130	89	68.5	12	9.2	2	16.7
2020-12-03	130	88	67.7	12	9.2	2	16.7
2020-12-04	130	95	73.1	10	7.7	2	20.0
2020-12-05	130	99	76.2	12	9.2	3	25.0
2020-12-06	130	97	74.6	13	10.0	4	30.8
2020-12-07	130	99	76.2	14	10.8	4	28.6
2020-12-08	130	93	71.5	13	10.0	4	30.8
2020-12-09	128	91	71.1	13	10.2	4	30.8
2020-12-10	128	96	75.0	11	8.6	2	18.2
2020-12-11	130	93	71.5	8	6.2	2	25.0
2020-12-12	132	86	65.2	9	6.8	2	22.2
2020-12-13	135	89	65.9	9	6.7	3	33.3
2020-12-14	132	90	68.2	9	6.8	3	33.3
2020-12-15	132	92	69.7	8	6.1	3	37.5
2020-12-16	130	96	73.8	8	6.2	4	50.0
2020-12-17	128	90	70.3	10	7.8	3	30.0
2020-12-18	128	93	72.7	12	9.4	3	25.0
2020-12-19	128	86	67.2	12	9.4	3	25.0
2020-12-20	128	84	65.6	13	10.2	2	15.4
2020-12-21	128	84	65.6	12	9.4	2	16.7
2020-12-22	128	84	65.6	11	8.6	2	18.2
2020-12-23	128	82	64.1	11	8.6	2	18.2
2020-12-24	128	82	64.1	12	9.4	2	16.7
2020-12-25	128	86	67.2	13	10.2	3	23.1
2020-12-26	128	88	68.8	12	9.4	3	25.0
2020-12-27	128	83	64.8	10	7.8	4	40.0
2020-12-28	128	85	66.4	9	7.0	5	55.6
2020-12-29	128	88	68.8	8	6.2	5	62.5
2020-12-30	128	93	72.7	10	7.8	4	40.0
2020-12-31	128	88	68.8	16	12.5	7	43.8
2021-01-01	128	88	68.8	15	11.7	7	46.7
2021-01-02	128	90	70.3	15	11.7	7	46.7
2021-01-03	126	84	66.7	16	12.7	7	43.8
2021-01-04	127	87	68.5	16	12.6	7	43.8
2021-01-05	128	88	68.8	18	14.1	7	38.9
2021-01-06	128	91	71.1	18	14.1	6	33.3
2021-01-07	128	92	71.9	17	13.3	6	35.3
2021-01-08	128	94	73.4	16	12.5	5	31.2
2021-01-09	128	88	68.8	12	9.4	5	41.7
2021-01-10	128	91	71.1	14	10.9	5	35.7
2021-01-11	128	92	71.9	15	11.7	6	40.0
2021-01-12	128	89	69.5	17	13.3	7	41.2
2021-01-13	128	92	71.9	18	14.1	8	44.4
2021-01-14	120	85	70.8	16	13.3	6	37.5
2021-01-15	120	88	73.3	18	15.0	6	33.3
2021-01-16	128	90	70.3	16	12.5	7	43.8
2021-01-17	131	82	62.6	15	11.5	7	46.7
2021-01-18	131	89	67.9	16	12.2	7	43.8
2021-01-19	128	89	69.5	12	9.4	6	50.0
2021-01-20	128	86	67.2	13	10.2	7	53.8
2021-01-21	128	86	67.2	15	11.7	10	66.7
2021-01-22	128	90	70.3	17	13.3	7	41.2
2021-01-23	128	87	68.0	16	12.5	7	43.8
2021-01-24	128	92	71.9	17	13.3	6	35.3
