Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-12-26	48	38	79.2	13	27.1	8	61.5
2021-01-26	46	40	87.0	11	23.9	6	54.5
2020-12-22	48	36	75.0	12	25.0	6	50.0
2021-08-03	46	34	73.9	1	2.2	0	0.0
2020-05-18	55	25	45.5	0	0.0	0	0
2020-05-20	60	29	48.3	0	0.0	0	0
2020-07-29	69	30	43.5	0	0.0	0	0
2021-07-02	46	32	69.6	0	0.0	0	0
2021-06-08	46	35	76.1	2	4.3	1	50.0
2020-10-12	73	40	54.8	1	1.4	0	0.0
2020-11-12	46	34	73.9	10	21.7	7	70.0
2020-05-02	62	32	51.6	3	4.8	2	66.7
2021-02-26	46	40	87.0	7	15.2	3	42.9
2021-09-08	46	35	76.1	2	4.3	2	100.0
2021-04-13	46	37	80.4	9	19.6	2	22.2
2021-03-04	46	44	95.7	5	10.9	1	20.0
2021-06-19	46	33	71.7	0	0.0	0	0
2020-09-22	73	36	49.3	0	0.0	0	0
2020-07-22	65	31	47.7	0	0.0	0	0
2021-07-27	46	29	63.0	0	0.0	0	0
2021-06-01	46	33	71.7	4	8.7	0	0.0
2021-05-09	46	40	87.0	13	28.3	8	61.5
2020-11-16	46	36	78.3	10	21.7	7	70.0
2021-04-29	46	33	71.7	13	28.3	7	53.8
2021-01-14	48	37	77.1	11	22.9	6	54.5
2020-11-30	48	32	66.7	7	14.6	5	71.4
2020-08-07	73	35	47.9	0	0.0	0	0
2021-02-24	46	38	82.6	2	4.3	2	100.0
2021-08-28	46	34	73.9	1	2.2	0	0.0
2020-12-03	48	33	68.8	9	18.8	6	66.7
2021-02-22	46	27	58.7	3	6.5	2	66.7
2021-06-12	46	30	65.2	3	6.5	1	33.3
2020-08-08	66	26	39.4	0	0.0	0	0
2020-12-04	48	36	75.0	12	25.0	6	50.0
2021-08-15	46	33	71.7	0	0.0	0	0
2021-04-03	48	35	72.9	7	14.6	3	42.9
2020-09-27	73	38	52.1	1	1.4	1	100.0
2021-02-08	44	40	90.9	16	36.4	8	50.0
2021-02-21	46	30	65.2	3	6.5	2	66.7
2021-06-02	46	31	67.4	4	8.7	0	0.0
2021-04-18	46	36	78.3	16	34.8	6	37.5
2020-12-07	48	38	79.2	10	20.8	7	70.0
2020-04-28	55	26	47.3	1	1.8	1	100.0
2021-02-25	46	41	89.1	5	10.9	2	40.0
2020-05-04	62	31	50.0	2	3.2	1	50.0
2020-10-24	48	33	68.8	1	2.1	1	100.0
2021-09-01	46	40	87.0	4	8.7	0	0.0
2021-01-03	48	36	75.0	13	27.1	9	69.2
2020-06-20	42	16	38.1	0	0.0	0	0
2020-12-11	48	36	75.0	11	22.9	4	36.4
2020-09-15	73	37	50.7	0	0.0	0	0
2021-07-11	46	31	67.4	0	0.0	0	0
2021-07-07	48	35	72.9	0	0.0	0	0
2021-02-18	46	31	67.4	6	13.0	2	33.3
2021-07-17	46	36	78.3	0	0.0	0	0
2020-12-19	48	33	68.8	13	27.1	2	15.4
2021-04-10	46	32	69.6	9	19.6	4	44.4
2021-01-08	48	34	70.8	12	25.0	8	66.7
2021-06-26	46	39	84.8	1	2.2	0	0.0
2020-11-06	46	31	67.4	11	23.9	5	45.5
2020-06-21	35	13	37.1	0	0.0	0	0
2020-11-27	48	40	83.3	12	25.0	7	58.3
2021-02-23	46	33	71.7	3	6.5	3	100.0
2021-01-27	44	39	88.6	12	27.3	6	50.0
2021-08-19	46	38	82.6	0	0.0	0	0
2021-07-29	46	27	58.7	0	0.0	0	0
2020-07-08	68	30	44.1	1	1.5	0	0.0
2020-08-09	66	28	42.4	1	1.5	1	100.0
2020-08-29	73	29	39.7	1	1.4	1	100.0
2021-07-01	46	35	76.1	0	0.0	0	0
2020-11-05	46	30	65.2	10	21.7	6	60.0
2021-01-19	46	41	89.1	15	32.6	7	46.7
2021-03-08	46	42	91.3	7	15.2	2	28.6
2021-02-09	44	35	79.5	12	27.3	7	58.3
2021-09-02	46	40	87.0	3	6.5	0	0.0
2020-07-17	65	25	38.5	0	0.0	0	0
2021-08-09	46	34	73.9	0	0.0	0	0
2020-07-28	72	29	40.3	0	0.0	0	0
2021-09-04	46	40	87.0	5	10.9	1	20.0
2021-03-23	48	38	79.2	8	16.7	5	62.5
2020-06-18	62	28	45.2	0	0.0	0	0
2020-06-02	55	29	52.7	1	1.8	0	0.0
2020-09-02	73	36	49.3	1	1.4	1	100.0
2021-08-10	46	34	73.9	1	2.2	0	0.0
2020-09-07	73	31	42.5	0	0.0	0	0
2020-08-16	73	34	46.6	1	1.4	1	100.0
2021-02-07	44	38	86.4	13	29.5	7	53.8
2020-11-02	48	34	70.8	7	14.6	4	57.1
2021-04-30	46	38	82.6	16	34.8	8	50.0
2020-07-05	76	33	43.4	0	0.0	0	0
2021-08-24	46	40	87.0	0	0.0	0	0
2021-04-26	46	39	84.8	15	32.6	6	40.0
2020-09-11	73	33	45.2	0	0.0	0	0
2020-10-30	47	42	89.4	3	6.4	2	66.7
2021-08-30	46	35	76.1	2	4.3	0	0.0
2021-05-17	46	32	69.6	9	19.6	7	77.8
2021-07-18	46	34	73.9	0	0.0	0	0
2021-03-14	48	40	83.3	5	10.4	2	40.0
2020-08-01	72	29	40.3	0	0.0	0	0
2021-05-03	46	41	89.1	13	28.3	10	76.9
2021-08-12	46	31	67.4	1	2.2	0	0.0
2020-07-16	65	22	33.8	0	0.0	0	0
2020-08-14	73	31	42.5	1	1.4	1	100.0
2021-01-28	44	37	84.1	11	25.0	6	54.5
2021-02-15	44	39	88.6	8	18.2	3	37.5
2020-06-11	62	27	43.5	0	0.0	0	0
2021-07-25	46	30	65.2	0	0.0	0	0
2020-09-14	73	34	46.6	0	0.0	0	0
2021-05-15	46	35	76.1	13	28.3	9	69.2
2021-02-01	44	37	84.1	12	27.3	5	41.7
2021-03-21	48	32	66.7	6	12.5	5	83.3
2020-06-15	57	37	64.9	0	0.0	0	0
2021-04-17	46	40	87.0	13	28.3	5	38.5
2021-08-17	46	34	73.9	1	2.2	0	0.0
2021-02-11	44	33	75.0	13	29.5	8	61.5
2020-09-09	73	31	42.5	0	0.0	0	0
2021-03-19	48	38	79.2	6	12.5	3	50.0
2020-06-14	55	30	54.5	0	0.0	0	0
2020-05-26	62	25	40.3	1	1.6	1	100.0
2021-03-29	48	40	83.3	8	16.7	4	50.0
2020-07-13	65	24	36.9	1	1.5	0	0.0
2021-06-09	46	32	69.6	2	4.3	1	50.0
2021-07-21	46	34	73.9	0	0.0	0	0
2021-02-12	43	34	79.1	12	27.9	8	66.7
2020-08-26	73	29	39.7	1	1.4	1	100.0
2021-05-22	46	37	80.4	8	17.4	2	25.0
2021-03-07	46	44	95.7	5	10.9	2	40.0
2021-07-14	46	36	78.3	1	2.2	0	0.0
2020-08-06	73	32	43.8	0	0.0	0	0
2020-12-02	48	32	66.7	8	16.7	3	37.5
2021-06-14	46	30	65.2	1	2.2	1	100.0
2020-09-10	73	30	41.1	0	0.0	0	0
2020-05-11	58	33	56.9	1	1.7	1	100.0
2021-04-07	46	34	73.9	9	19.6	3	33.3
2020-06-30	68	27	39.7	0	0.0	0	0
2021-06-07	46	35	76.1	2	4.3	1	50.0
2021-07-05	46	37	80.4	0	0.0	0	0
2020-09-17	73	36	49.3	0	0.0	0	0
2021-09-03	46	39	84.8	5	10.9	1	20.0
2021-08-04	46	35	76.1	1	2.2	0	0.0
2021-04-24	44	35	79.5	13	29.5	7	53.8
2020-09-13	72	39	54.2	0	0.0	0	0
2021-07-08	46	36	78.3	0	0.0	0	0
2020-08-15	66	31	47.0	1	1.5	1	100.0
2021-08-06	46	31	67.4	1	2.2	0	0.0
2021-06-17	46	27	58.7	0	0.0	0	0
2021-08-21	46	34	73.9	0	0.0	0	0
2020-10-25	49	41	83.7	3	6.1	0	0.0
2021-08-08	46	32	69.6	1	2.2	0	0.0
2020-10-23	48	34	70.8	1	2.1	1	100.0
2021-01-01	48	37	77.1	11	22.9	7	63.6
2020-10-11	71	32	45.1	1	1.4	0	0.0
2021-01-23	46	42	91.3	13	28.3	8	61.5
2020-08-19	73	32	43.8	1	1.4	1	100.0
2020-07-25	65	27	41.5	0	0.0	0	0
2021-04-22	45	34	75.6	13	28.9	5	38.5
2020-11-19	48	38	79.2	11	22.9	6	54.5
2021-03-22	48	38	79.2	7	14.6	5	71.4
2021-01-29	44	40	90.9	10	22.7	5	50.0
2020-05-08	62	21	33.9	1	1.6	1	100.0
2020-10-10	71	33	46.5	1	1.4	0	0.0
2020-12-20	48	30	62.5	13	27.1	2	15.4
2021-01-16	48	42	87.5	13	27.1	8	61.5
2021-08-27	46	35	76.1	1	2.2	0	0.0
2020-05-12	62	30	48.4	1	1.6	1	100.0
2021-08-25	46	38	82.6	1	2.2	0	0.0
2020-12-08	48	41	85.4	10	20.8	7	70.0
2020-07-14	65	25	38.5	2	3.1	0	0.0
2020-11-28	48	39	81.2	9	18.8	5	55.6
2021-06-21	46	36	78.3	1	2.2	0	0.0
2021-01-11	48	35	72.9	12	25.0	8	66.7
2020-08-25	73	29	39.7	1	1.4	1	100.0
2020-06-27	71	24	33.8	1	1.4	0	0.0
2020-07-07	68	31	45.6	0	0.0	0	0
2020-08-12	73	34	46.6	1	1.4	1	100.0
2021-08-02	46	28	60.9	1	2.2	0	0.0
2020-04-29	62	35	56.5	2	3.2	2	100.0
2021-06-15	46	32	69.6	0	0.0	0	0
2021-05-12	46	40	87.0	15	32.6	12	80.0
2021-01-04	48	35	72.9	13	27.1	8	61.5
2020-07-24	45	13	28.9	0	0.0	0	0
2020-09-23	73	35	47.9	0	0.0	0	0
2020-08-24	73	32	43.8	1	1.4	1	100.0
2020-06-22	35	9	25.7	0	0.0	0	0
2021-05-19	46	34	73.9	9	19.6	3	33.3
2020-05-17	55	22	40.0	0	0.0	0	0
2021-03-20	46	34	73.9	6	13.0	3	50.0
2021-09-07	46	39	84.8	4	8.7	2	50.0
2021-02-05	43	37	86.0	14	32.6	9	64.3
2021-01-15	48	34	70.8	13	27.1	7	53.8
2021-04-14	46	37	80.4	10	21.7	3	30.0
2021-02-04	44	38	86.4	13	29.5	8	61.5
2021-05-10	46	41	89.1	15	32.6	8	53.3
2020-07-04	74	31	41.9	0	0.0	0	0
2020-10-06	73	39	53.4	1	1.4	1	100.0
2020-08-10	73	32	43.8	1	1.4	1	100.0
2020-11-08	46	30	65.2	11	23.9	4	36.4
2020-05-09	62	24	38.7	1	1.6	1	100.0
2020-11-21	46	34	73.9	11	23.9	6	54.5
2021-01-06	48	36	75.0	12	25.0	8	66.7
2021-03-11	48	43	89.6	5	10.4	1	20.0
2021-08-11	46	31	67.4	1	2.2	0	0.0
2020-08-20	73	32	43.8	1	1.4	1	100.0
2020-12-18	48	33	68.8	14	29.2	5	35.7
2021-02-17	46	37	80.4	5	10.9	2	40.0
2020-12-29	48	33	68.8	12	25.0	9	75.0
2020-09-04	73	32	43.8	1	1.4	1	100.0
2020-05-13	62	32	51.6	2	3.2	2	100.0
2020-06-26	61	20	32.8	0	0.0	0	0
2021-07-03	46	32	69.6	0	0.0	0	0
2021-03-03	46	38	82.6	6	13.0	2	33.3
2021-06-23	46	36	78.3	1	2.2	0	0.0
2020-12-16	48	34	70.8	12	25.0	8	66.7
2020-06-04	55	29	52.7	0	0.0	0	0
2020-11-14	46	29	63.0	7	15.2	5	71.4
2020-10-02	73	38	52.1	1	1.4	1	100.0
2020-10-21	67	39	58.2	1	1.5	0	0.0
2021-04-01	48	40	83.3	8	16.7	3	37.5
2020-09-01	73	29	39.7	1	1.4	1	100.0
2021-01-31	44	38	86.4	11	25.0	3	27.3
2020-06-17	62	31	50.0	0	0.0	0	0
2020-11-01	48	35	72.9	5	10.4	4	80.0
2021-02-13	44	32	72.7	10	22.7	7	70.0
2021-08-07	46	30	65.2	0	0.0	0	0
2021-04-20	46	33	71.7	12	26.1	6	50.0
2020-04-27	55	26	47.3	2	3.6	1	50.0
2021-02-03	44	38	86.4	12	27.3	8	66.7
2021-05-20	46	36	78.3	8	17.4	2	25.0
2021-07-13	46	34	73.9	0	0.0	0	0
2021-05-31	46	38	82.6	3	6.5	0	0.0
2021-05-14	46	41	89.1	14	30.4	9	64.3
2021-01-10	48	34	70.8	12	25.0	9	75.0
2021-08-22	46	36	78.3	0	0.0	0	0
2021-04-04	48	37	77.1	9	18.8	3	33.3
2021-06-28	46	30	65.2	1	2.2	0	0.0
2020-10-17	73	33	45.2	0	0.0	0	0
2020-04-26	65	27	41.5	3	4.6	2	66.7
2020-12-31	48	37	77.1	13	27.1	9	69.2
2021-07-16	48	38	79.2	0	0.0	0	0
2021-05-24	46	40	87.0	7	15.2	2	28.6
2020-10-22	52	37	71.2	1	1.9	0	0.0
2020-11-09	46	32	69.6	10	21.7	6	60.0
2020-06-06	62	33	53.2	0	0.0	0	0
2020-10-26	49	35	71.4	4	8.2	2	50.0
2020-08-23	66	28	42.4	1	1.5	1	100.0
2021-01-22	46	40	87.0	14	30.4	8	57.1
2020-05-21	64	26	40.6	0	0.0	0	0
2020-05-16	55	20	36.4	0	0.0	0	0
2021-03-06	46	43	93.5	5	10.9	2	40.0
2021-06-06	46	33	71.7	2	4.3	1	50.0
2021-06-05	46	34	73.9	3	6.5	1	33.3
2020-12-10	48	38	79.2	10	20.8	6	60.0
2020-08-31	73	35	47.9	1	1.4	1	100.0
2020-08-02	72	25	34.7	0	0.0	0	0
2021-04-15	46	37	80.4	12	26.1	3	25.0
2021-06-16	46	30	65.2	0	0.0	0	0
2021-03-13	48	43	89.6	4	8.3	2	50.0
2020-06-08	62	29	46.8	0	0.0	0	0
2021-04-02	48	32	66.7	8	16.7	3	37.5
2021-01-05	48	34	70.8	12	25.0	8	66.7
2020-07-31	72	26	36.1	0	0.0	0	0
2020-06-24	10	5	50.0	0	0.0	0	0
2021-05-18	46	30	65.2	7	15.2	5	71.4
2021-07-26	46	28	60.9	0	0.0	0	0
2021-06-22	46	33	71.7	1	2.2	0	0.0
2021-08-18	46	37	80.4	0	0.0	0	0
2021-04-19	46	33	71.7	11	23.9	6	54.5
2021-03-31	48	40	83.3	8	16.7	4	50.0
2021-01-20	46	40	87.0	13	28.3	8	61.5
2020-10-13	71	44	62.0	1	1.4	0	0.0
2020-10-31	48	37	77.1	4	8.3	3	75.0
2020-06-05	62	34	54.8	0	0.0	0	0
2020-07-23	65	29	44.6	0	0.0	0	0
2021-06-13	46	31	67.4	2	4.3	1	50.0
2021-01-07	48	39	81.2	13	27.1	10	76.9
2020-06-03	55	25	45.5	0	0.0	0	0
2021-01-09	48	36	75.0	12	25.0	9	75.0
2020-05-24	55	25	45.5	0	0.0	0	0
2021-08-13	46	32	69.6	0	0.0	0	0
2020-05-27	62	24	38.7	0	0.0	0	0
2021-04-28	46	35	76.1	11	23.9	8	72.7
2021-06-03	46	35	76.1	5	10.9	1	20.0
2020-12-27	48	39	81.2	13	27.1	9	69.2
2020-11-07	46	30	65.2	11	23.9	5	45.5
2020-07-12	65	29	44.6	1	1.5	0	0.0
2020-08-04	72	32	44.4	0	0.0	0	0
2020-08-27	73	30	41.1	1	1.4	1	100.0
2020-08-13	73	32	43.8	1	1.4	0	0.0
2021-05-04	46	39	84.8	14	30.4	12	85.7
2021-05-25	46	38	82.6	7	15.2	2	28.6
2020-07-01	74	30	40.5	0	0.0	0	0
2021-05-02	46	40	87.0	14	30.4	9	64.3
2020-09-05	73	36	49.3	1	1.4	1	100.0
2021-01-02	48	34	70.8	12	25.0	8	66.7
2021-05-08	46	40	87.0	13	28.3	9	69.2
2021-06-20	46	25	54.3	0	0.0	0	0
2020-06-13	55	25	45.5	0	0.0	0	0
2021-01-21	46	40	87.0	15	32.6	8	53.3
2020-07-20	65	32	49.2	0	0.0	0	0
2020-10-27	48	43	89.6	3	6.2	2	66.7
2020-11-03	46	26	56.5	7	15.2	5	71.4
2020-09-08	73	44	60.3	0	0.0	0	0
2021-03-26	48	42	87.5	7	14.6	5	71.4
2020-09-18	73	34	46.6	0	0.0	0	0
2020-09-16	73	34	46.6	0	0.0	0	0
2020-11-18	46	32	69.6	8	17.4	6	75.0
2021-04-16	46	37	80.4	15	32.6	6	40.0
2021-07-10	46	31	67.4	0	0.0	0	0
2020-10-20	73	38	52.1	0	0.0	0	0
2020-05-06	62	24	38.7	1	1.6	0	0.0
2021-07-31	46	32	69.6	0	0.0	0	0
2020-08-18	73	37	50.7	1	1.4	1	100.0
2020-11-17	46	31	67.4	9	19.6	5	55.6
2020-08-05	73	37	50.7	0	0.0	0	0
2021-05-27	46	38	82.6	4	8.7	1	25.0
2021-05-29	46	36	78.3	4	8.7	0	0.0
2020-07-26	65	28	43.1	0	0.0	0	0
2020-10-18	73	32	43.8	0	0.0	0	0
2020-05-15	62	19	30.6	0	0.0	0	0
2021-03-30	48	41	85.4	8	16.7	4	50.0
2021-07-24	46	36	78.3	0	0.0	0	0
2020-09-25	73	38	52.1	0	0.0	0	0
2021-03-10	46	40	87.0	5	10.9	1	20.0
2020-07-19	65	23	35.4	0	0.0	0	0
2021-04-12	46	31	67.4	7	15.2	3	42.9
2020-12-14	48	38	79.2	15	31.2	7	46.7
2020-05-10	60	27	45.0	1	1.7	1	100.0
2021-02-20	46	34	73.9	4	8.7	2	50.0
2020-08-11	73	34	46.6	1	1.4	1	100.0
2021-03-27	48	41	85.4	6	12.5	4	66.7
2020-05-01	62	35	56.5	4	6.5	2	50.0
2021-02-19	46	34	73.9	6	13.0	2	33.3
2020-11-29	48	39	81.2	9	18.8	5	55.6
2020-07-27	72	32	44.4	0	0.0	0	0
2021-06-04	46	34	73.9	3	6.5	1	33.3
2020-09-03	73	39	53.4	1	1.4	1	100.0
2020-12-28	48	40	83.3	13	27.1	8	61.5
2021-02-02	44	39	88.6	13	29.5	6	46.2
2020-09-21	73	34	46.6	0	0.0	0	0
2020-06-01	55	21	38.2	1	1.8	0	0.0
2021-01-30	44	40	90.9	10	22.7	5	50.0
2020-10-14	71	46	64.8	0	0.0	0	0
2021-06-24	46	39	84.8	1	2.2	0	0.0
2021-05-05	46	41	89.1	14	30.4	11	78.6
2020-11-24	46	30	65.2	10	21.7	7	70.0
2020-07-11	65	29	44.6	1	1.5	0	0.0
2021-06-10	46	33	71.7	2	4.3	1	50.0
2020-05-23	62	32	51.6	0	0.0	0	0
2021-03-28	48	42	87.5	8	16.7	5	62.5
2021-06-18	46	31	67.4	0	0.0	0	0
2021-08-26	46	35	76.1	1	2.2	0	0.0
2021-03-18	48	35	72.9	5	10.4	3	60.0
2020-07-09	65	27	41.5	1	1.5	0	0.0
2021-06-30	46	31	67.4	0	0.0	0	0
2020-10-15	73	33	45.2	0	0.0	0	0
2020-12-13	48	37	77.1	11	22.9	6	54.5
2021-08-31	46	35	76.1	1	2.2	0	0.0
2021-03-24	48	38	79.2	6	12.5	5	83.3
2021-07-12	46	38	82.6	0	0.0	0	0
2021-08-20	46	36	78.3	0	0.0	0	0
2021-04-09	46	33	71.7	9	19.6	4	44.4
2020-09-26	73	38	52.1	1	1.4	0	0.0
2020-05-31	55	26	47.3	1	1.8	0	0.0
2021-06-27	46	37	80.4	1	2.2	0	0.0
2020-11-11	46	35	76.1	10	21.7	7	70.0
2020-04-30	68	35	51.5	3	4.4	1	33.3
2020-12-30	48	36	75.0	12	25.0	9	75.0
2021-03-16	48	42	87.5	6	12.5	3	50.0
