Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_invasiv_beatmet	faelle_covid_aktuell_beatmet_proz
2020-04-24	81	52	64.2	8	9.9	7	87.5
2020-04-25	81	50	61.7	8	9.9	8	100.0
2020-04-26	60	25	41.7	8	13.3	8	100.0
2020-04-27	78	41	52.6	8	10.3	8	100.0
2020-04-28	105	41	39.0	8	7.6	8	100.0
2020-04-29	108	51	47.2	9	8.3	8	88.9
2020-04-30	107	47	43.9	9	8.4	8	88.9
2020-05-01	106	54	50.9	9	8.5	7	77.8
2020-05-02	102	51	50.0	8	7.8	8	100.0
2020-05-03	104	46	44.2	7	6.7	5	71.4
2020-05-04	114	54	47.4	6	5.3	4	66.7
2020-05-05	108	53	49.1	6	5.6	4	66.7
2020-05-06	94	45	47.9	6	6.4	4	66.7
2020-05-07	115	57	49.6	6	5.2	4	66.7
2020-05-08	107	56	52.3	6	5.6	4	66.7
2020-05-09	107	57	53.3	6	5.6	4	66.7
2020-05-10	107	54	50.5	5	4.7	4	80.0
2020-05-11	109	49	45.0	5	4.6	4	80.0
2020-05-12	103	48	46.6	5	4.9	4	80.0
2020-05-13	120	52	43.3	5	4.2	4	80.0
2020-05-14	108	48	44.4	5	4.6	4	80.0
2020-05-15	106	52	49.1	5	4.7	4	80.0
2020-05-16	124	56	45.2	5	4.0	3	60.0
2020-05-17	124	51	41.1	4	3.2	2	50.0
2020-05-18	108	55	50.9	4	3.7	2	50.0
2020-05-19	107	52	48.6	3	2.8	2	66.7
2020-05-20	108	53	49.1	2	1.9	2	100.0
2020-05-21	106	54	50.9	2	1.9	2	100.0
2020-05-22	106	49	46.2	2	1.9	2	100.0
2020-05-23	124	52	41.9	2	1.6	2	100.0
2020-05-24	124	51	41.1	2	1.6	2	100.0
2020-05-25	97	48	49.5	2	2.1	2	100.0
2020-05-26	96	48	50.0	2	2.1	2	100.0
2020-05-27	98	52	53.1	2	2.0	2	100.0
2020-05-28	98	53	54.1	2	2.0	2	100.0
2020-05-29	98	51	52.0	2	2.0	2	100.0
2020-05-30	97	54	55.7	2	2.1	2	100.0
2020-05-31	95	51	53.7	2	2.1	2	100.0
2020-06-01	96	54	56.2	2	2.1	2	100.0
2020-06-02	90	43	47.8	2	2.2	2	100.0
2020-06-03	88	40	45.5	2	2.3	2	100.0
2020-06-04	90	38	42.2	2	2.2	2	100.0
