Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-12-03	44	35	79.5	2	4.5	2	100.0
2020-05-27	31	28	90.3	1	3.2	1	100.0
2020-09-27	44	34	77.3	0	0.0	0	0
2020-07-22	29	28	96.6	0	0.0	0	0
2020-10-06	44	37	84.1	0	0.0	0	0
2020-10-12	44	38	86.4	0	0.0	0	0
2020-10-13	44	42	95.5	0	0.0	0	0
2020-10-07	44	37	84.1	0	0.0	0	0
2020-07-23	36	31	86.1	0	0.0	0	0
2020-09-26	44	34	77.3	0	0.0	0	0
2020-05-26	31	28	90.3	1	3.2	1	100.0
2020-12-16	44	40	90.9	3	6.8	2	66.7
2020-12-02	44	35	79.5	3	6.8	2	66.7
2020-12-14	44	40	90.9	2	4.5	1	50.0
2020-05-18	31	27	87.1	1	3.2	1	100.0
2020-05-30	31	23	74.2	0	0.0	0	0
2020-05-24	31	27	87.1	1	3.2	1	100.0
2020-09-24	44	35	79.5	0	0.0	0	0
2020-07-09	29	26	89.7	0	0.0	0	0
2020-09-30	44	37	84.1	0	0.0	0	0
2020-09-18	44	39	88.6	0	0.0	0	0
2020-07-21	29	28	96.6	0	0.0	0	0
2020-10-11	44	41	93.2	0	0.0	0	0
2020-10-05	44	41	93.2	0	0.0	0	0
2020-10-04	44	43	97.7	0	0.0	0	0
2020-10-10	44	38	86.4	0	0.0	0	0
2020-07-20	29	28	96.6	0	0.0	0	0
2020-09-19	44	37	84.1	0	0.0	0	0
2020-07-08	29	26	89.7	0	0.0	0	0
2020-09-25	44	34	77.3	0	0.0	0	0
2020-05-25	31	24	77.4	1	3.2	1	100.0
2020-05-31	31	26	83.9	0	0.0	0	0
2020-05-19	31	30	96.8	1	3.2	1	100.0
2020-12-01	44	38	86.4	5	11.4	3	60.0
2020-12-15	44	41	93.2	2	4.5	1	50.0
2020-12-11	45	40	88.9	3	6.7	2	66.7
2020-12-05	44	37	84.1	2	4.5	2	100.0
2020-05-21	31	29	93.5	1	3.2	1	100.0
2020-05-09	31	28	90.3	1	3.2	1	100.0
2020-07-30	36	28	77.8	0	0.0	0	0
2020-09-09	44	31	70.5	0	0.0	0	0
2020-07-24	36	30	83.3	0	0.0	0	0
2020-09-21	44	40	90.9	0	0.0	0	0
2020-07-18	29	26	89.7	0	0.0	0	0
2020-10-28	44	33	75.0	0	0.0	0	0
2020-10-14	44	41	93.2	0	0.0	0	0
2020-10-01	44	41	93.2	0	0.0	0	0
2020-10-15	44	32	72.7	0	0.0	0	0
2020-10-29	44	31	70.5	0	0.0	0	0
2020-07-19	29	26	89.7	0	0.0	0	0
2020-09-20	44	37	84.1	0	0.0	0	0
2020-07-25	36	30	83.3	0	0.0	0	0
2020-09-08	44	33	75.0	0	0.0	0	0
2020-07-31	36	34	94.4	0	0.0	0	0
2020-05-08	31	25	80.6	1	3.2	1	100.0
2020-05-20	32	24	75.0	1	3.1	1	100.0
2020-12-04	44	37	84.1	2	4.5	2	100.0
2020-12-10	45	40	88.9	2	4.4	2	100.0
2020-12-06	44	36	81.8	2	4.5	2	100.0
2020-12-12	45	40	88.9	3	6.7	2	66.7
2020-05-22	31	29	93.5	1	3.2	1	100.0
2020-07-27	35	30	85.7	0	0.0	0	0
