Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2021-04-18	126	125	99.2	24	19.0	13	54.2
2020-04-28	149	124	83.2	8	5.4	8	100.0
2021-01-29	126	123	97.6	21	16.7	15	71.4
2021-07-02	126	123	97.6	15	11.9	5	33.3
2020-06-18	131	119	90.8	2	1.5	2	100.0
2021-05-06	126	124	98.4	27	21.4	9	33.3
2020-10-07	126	108	85.7	0	0.0	0	0
2020-07-01	117	111	94.9	1	0.9	0	0.0
2021-04-27	126	126	100.0	25	19.8	10	40.0
2021-03-22	126	126	100.0	24	19.0	12	50.0
2020-07-18	118	110	93.2	0	0.0	0	0
2020-09-20	126	104	82.5	0	0.0	0	0
2021-06-02	126	121	96.0	17	13.5	3	17.6
2021-04-14	126	126	100.0	23	18.3	10	43.5
2021-04-01	126	126	100.0	18	14.3	8	44.4
2021-04-16	126	125	99.2	23	18.3	12	52.2
2021-05-26	126	122	96.8	18	14.3	3	16.7
2020-05-07	156	131	84.0	9	5.8	7	77.8
2021-06-07	126	122	96.8	16	12.7	4	25.0
2021-03-13	126	124	98.4	23	18.3	9	39.1
2020-06-13	129	117	90.7	2	1.6	2	100.0
2020-08-29	126	106	84.1	0	0.0	0	0
2020-10-08	126	113	89.7	0	0.0	0	0
2021-03-07	126	120	95.2	20	15.9	9	45.0
2021-01-24	126	124	98.4	19	15.1	14	73.7
2021-08-23	126	124	98.4	1	0.8	0	0.0
2020-11-04	126	106	84.1	1	0.8	1	100.0
2021-07-28	126	125	99.2	7	5.6	1	14.3
2020-10-06	126	112	88.9	0	0.0	0	0
2020-08-14	126	109	86.5	0	0.0	0	0
2020-09-07	126	110	87.3	0	0.0	0	0
2021-05-15	126	124	98.4	25	19.8	10	40.0
2020-08-09	126	111	88.1	0	0.0	0	0
2020-07-11	118	115	97.5	0	0.0	0	0
2021-07-05	126	121	96.0	14	11.1	5	35.7
2020-10-05	126	112	88.9	0	0.0	0	0
2020-08-04	126	114	90.5	2	1.6	0	0.0
2020-05-29	130	115	88.5	6	4.6	2	33.3
2021-02-17	126	121	96.0	19	15.1	9	47.4
2020-09-05	126	110	87.3	0	0.0	0	0
2020-11-22	126	113	89.7	3	2.4	3	100.0
2020-09-12	126	107	84.9	0	0.0	0	0
2020-06-21	127	125	98.4	2	1.6	1	50.0
2021-07-16	126	119	94.4	10	7.9	1	10.0
2021-08-27	126	126	100.0	1	0.8	0	0.0
2021-07-27	126	123	97.6	7	5.6	1	14.3
2021-03-05	126	120	95.2	20	15.9	9	45.0
2020-11-19	122	111	91.0	4	3.3	4	100.0
2021-06-06	126	122	96.8	16	12.7	4	25.0
2020-09-19	126	109	86.5	0	0.0	0	0
2020-09-25	126	104	82.5	0	0.0	0	0
2020-05-04	149	124	83.2	7	4.7	7	100.0
2021-02-18	126	119	94.4	19	15.1	10	52.6
2020-08-25	126	105	83.3	0	0.0	0	0
2020-06-29	116	112	96.6	1	0.9	0	0.0
2020-06-03	124	115	92.7	5	4.0	3	60.0
2021-06-04	126	120	95.2	17	13.5	4	23.5
2020-07-04	117	111	94.9	0	0.0	0	0
2021-08-11	126	122	96.8	3	2.4	0	0.0
2021-02-07	126	122	96.8	17	13.5	7	41.2
2021-07-23	126	124	98.4	9	7.1	1	11.1
2020-05-19	138	118	85.5	7	5.1	6	85.7
2021-06-24	126	120	95.2	13	10.3	3	23.1
2021-07-25	126	124	98.4	7	5.6	1	14.3
2020-10-29	126	111	88.1	1	0.8	1	100.0
2020-10-10	126	112	88.9	0	0.0	0	0
2020-06-11	130	125	96.2	2	1.5	2	100.0
2021-01-03	126	126	100.0	16	12.7	8	50.0
2020-08-03	126	114	90.5	0	0.0	0	0
2020-07-02	119	112	94.1	0	0.0	0	0
2020-11-29	126	124	98.4	4	3.2	3	75.0
2020-08-01	126	114	90.5	0	0.0	0	0
2020-12-07	126	123	97.6	5	4.0	3	60.0
2021-04-15	126	124	98.4	23	18.3	12	52.2
2020-12-14	130	126	96.9	13	10.0	10	76.9
2021-04-19	126	125	99.2	24	19.0	13	54.2
2021-08-09	126	120	95.2	3	2.4	0	0.0
2021-03-24	126	125	99.2	21	16.7	10	47.6
2021-04-25	126	122	96.8	27	21.4	10	37.0
2020-06-28	118	116	98.3	1	0.8	0	0.0
2020-07-08	115	112	97.4	0	0.0	0	0
2020-11-08	126	106	84.1	2	1.6	2	100.0
2020-06-02	134	117	87.3	6	4.5	2	33.3
2021-06-27	126	122	96.8	13	10.3	4	30.8
2020-11-05	126	109	86.5	2	1.6	2	100.0
2020-12-12	126	124	98.4	9	7.1	8	88.9
2021-04-30	126	126	100.0	25	19.8	10	40.0
2021-04-07	126	123	97.6	19	15.1	10	52.6
2020-05-27	132	117	88.6	8	6.1	8	100.0
2020-08-18	126	109	86.5	0	0.0	0	0
2021-05-03	126	126	100.0	24	19.0	11	45.8
2020-08-22	126	104	82.5	0	0.0	0	0
2021-03-31	126	125	99.2	18	14.3	8	44.4
2020-09-26	126	104	82.5	0	0.0	0	0
2020-05-02	149	124	83.2	9	6.0	7	77.8
2021-04-23	126	123	97.6	27	21.4	15	55.6
2021-04-05	126	125	99.2	18	14.3	9	50.0
2021-03-25	126	126	100.0	21	16.7	11	52.4
2021-07-22	126	122	96.8	9	7.1	1	11.1
2021-03-12	126	125	99.2	23	18.3	8	34.8
2021-06-28	126	117	92.9	13	10.3	5	38.5
2021-01-02	126	126	100.0	16	12.7	8	50.0
2021-01-06	126	123	97.6	17	13.5	9	52.9
2020-04-29	151	126	83.4	9	6.0	9	100.0
2021-06-18	126	123	97.6	14	11.1	2	14.3
2021-04-04	126	125	99.2	19	15.1	9	47.4
2020-10-11	126	111	88.1	1	0.8	0	0.0
2021-01-25	126	122	96.8	19	15.1	14	73.7
2020-07-03	116	110	94.8	0	0.0	0	0
2021-04-22	126	123	97.6	26	20.6	13	50.0
2021-01-08	126	122	96.8	16	12.7	10	62.5
2021-04-13	126	126	100.0	23	18.3	10	43.5
2021-07-11	126	120	95.2	10	7.9	2	20.0
2021-04-08	126	123	97.6	20	15.9	10	50.0
2021-02-06	126	120	95.2	17	13.5	8	47.1
2021-06-22	126	120	95.2	14	11.1	3	21.4
2021-08-28	126	124	98.4	1	0.8	0	0.0
2021-03-01	126	122	96.8	19	15.1	9	47.4
2021-04-21	126	122	96.8	24	19.0	12	50.0
2021-02-12	126	123	97.6	20	15.9	9	45.0
2020-11-03	126	109	86.5	1	0.8	1	100.0
2020-10-16	126	108	85.7	0	0.0	0	0
2020-08-12	126	109	86.5	1	0.8	0	0.0
2021-02-13	126	122	96.8	19	15.1	9	47.4
2020-05-03	149	124	83.2	7	4.7	7	100.0
2020-07-23	135	118	87.4	0	0.0	0	0
2021-03-17	126	124	98.4	21	16.7	8	38.1
2021-07-19	126	118	93.7	9	7.1	2	22.2
2020-08-31	126	107	84.9	0	0.0	0	0
