# Country	Date	Confirmed	Deaths	Recovered	Confirmed_per_Million	Deaths_per_Million	Recovered_per_Million
Austria	19.03.2020	2013	6	9	226.114	0.674	1.011
Belgium	19.03.2020	1795	21	31	155.873	1.824	2.692
France	19.03.2020	10947	243	12	163.334	3.626	0.179
Germany	19.03.2020	15320	44	113	184.247	0.529	1.359
Hungary	19.03.2020	73	1	2	7.470	0.102	0.205
Iran	19.03.2020	18407	1284	5710	221.281	15.436	68.643
Italy	19.03.2020	41035	3405	4440	680.316	56.451	73.610
Japan	19.03.2020	924	29	150	7.325	0.230	1.189
Korea, South	19.03.2020	8565	91	1540	165.638	1.760	29.782
Netherlands	19.03.2020	2467	77	2	141.578	4.419	0.115
Spain	19.03.2020	17963	830	1107	384.375	17.760	23.688
Sweden	19.03.2020	1439	11	16	139.256	1.065	1.548
Switzerland	19.03.2020	4075	41	15	475.488	4.784	1.750
United Kingdom	19.03.2020	2716	138	67	40.210	2.043	0.992
US	19.03.2020	13677	200	0	41.668	0.609	0.000
