# Region	Short	a	b	Cases	Doubling time	factor t+1	cases t+1	factor t+7	cases t+7
Baden-Württemberg	BW	2746	2745.341	0.239	2.895	1.271	3488	5.344	14674
Bayern	BY	2401	2219.571	0.206	3.363	1.229	2950	4.232	10160
Berlin	BE	731	711.418	0.225	3.081	1.252	915	4.830	3530
Brandenburg	BB	192	178.911	0.223	3.109	1.250	239	4.761	914
Bremen	HB	121	111.699	0.188	3.697	1.206	145	3.716	449
Hamburg	HH	586	585.547	0.244	2.844	1.276	747	5.507	3226
Hessen	HE	813	825.079	0.253	2.739	1.288	1047	5.878	4778
Mecklenburg-Vorpommern	MV	131	119.553	0.220	3.155	1.246	163	4.655	609
Niedersachsen	NI	803	806.377	0.227	3.051	1.255	1007	4.905	3938
Nordrhein-Westfalen	NW	3497	3564.154	0.193	3.585	1.213	4242	3.871	13535
Rheinland-Pfalz	RP	801	834.300	0.282	2.455	1.326	1062	7.216	5779
Saarland	SL	146	142.170	0.230	3.017	1.258	183	4.993	729
Sachsen	SN	394	377.728	0.257	2.701	1.293	509	6.029	2375
Sachsen-Anhalt	ST	180	176.952	0.254	2.726	1.290	232	5.929	1067
Schleswig-Holstein	SH	266	265.594	0.240	2.891	1.271	338	5.357	1425
Thüringen	TH	149	139.186	0.260	2.661	1.298	193	6.192	922
Deutschland	DE-total	13957	13793.946	0.222	3.116	1.249	17434	4.745	66228
