Country	Date	Confirmed	Deaths	Recovered	Population
Switzerland	2020-3-15	2200	14	4	8570146
Taiwan*	2020-3-15	59	1	20	
Thailand	2020-3-15	114	1	35	
Togo	2020-3-15	1	0	0	
Trinidad and Tobago	2020-3-15	2	0	0	
Tunisia	2020-3-15	18	0	0	
Turkey	2020-3-15	6	0	0	
Ukraine	2020-3-15	3	1	0	
United Arab Emirates	2020-3-15	98	0	23	
United Kingdom	2020-3-15	1144	21	19	67545757
Uruguay	2020-3-15	4	0	0	
US	2020-3-15	3499	63	12	328239523
Uzbekistan	2020-3-15	1	0	0	
Venezuela	2020-3-15	10	0	0	
Vietnam	2020-3-15	56	0	16	
