Date	Deaths	Deaths_roll_av
2016-01-01	2558	2558.0
2016-01-02	2422	2490.0
2016-01-03	2522	2500.7
2016-01-04	2743	2561.2
2016-01-05	2633	2575.6
2016-01-06	2578	2576.0
2016-01-07	2584	2577.1
2016-01-08	2765	2606.7
2016-01-09	2579	2629.1
2016-01-10	2585	2638.1
2016-01-11	2751	2639.3
2016-01-12	2627	2638.4
2016-01-13	2698	2655.6
2016-01-14	2581	2655.1
2016-01-15	2657	2639.7
2016-01-16	2627	2646.6
2016-01-17	2498	2634.1
2016-01-18	2624	2616.0
2016-01-19	2641	2618.0
2016-01-20	2640	2609.7
2016-01-21	2685	2624.6
2016-01-22	2668	2626.1
2016-01-23	2688	2634.9
2016-01-24	2681	2661.0
2016-01-25	2777	2682.9
2016-01-26	2679	2688.3
2016-01-27	2691	2695.6
2016-01-28	2639	2689.0
2016-01-29	2755	2701.4
2016-01-30	2650	2696.0
2016-01-31	2516	2672.4
2016-02-01	2683	2659.0
2016-02-02	2745	2668.4
2016-02-03	2518	2643.7
2016-02-04	2579	2635.1
2016-02-05	2649	2620.0
2016-02-06	2700	2627.1
2016-02-07	2619	2641.9
2016-02-08	2663	2639.0
2016-02-09	2640	2624.0
2016-02-10	2751	2657.3
2016-02-11	2594	2659.4
2016-02-12	2620	2655.3
2016-02-13	2701	2655.4
2016-02-14	2572	2648.7
2016-02-15	2643	2645.9
2016-02-16	2506	2626.7
2016-02-17	2671	2615.3
2016-02-18	2673	2626.6
2016-02-19	2730	2642.3
2016-02-20	2661	2636.6
2016-02-21	2599	2640.4
2016-02-22	2706	2649.4
2016-02-23	2684	2674.9
2016-02-24	2618	2667.3
2016-02-25	2658	2665.1
2016-02-26	2703	2661.3
2016-02-27	2585	2650.4
2016-02-28	2521	2639.3
2016-02-29	2627	2628.0
2016-03-01	2693	2629.3
2016-03-02	2794	2654.4
2016-03-03	2730	2664.7
2016-03-04	2803	2679.0
2016-03-05	2654	2688.9
2016-03-06	2625	2703.7
2016-03-07	2690	2712.7
2016-03-08	2754	2721.4
2016-03-09	2769	2717.9
2016-03-10	2682	2711.0
2016-03-11	2714	2698.3
2016-03-12	2613	2692.4
2016-03-13	2666	2698.3
2016-03-14	2727	2703.6
2016-03-15	2715	2698.0
2016-03-16	2686	2686.1
2016-03-17	2813	2704.9
2016-03-18	2711	2704.4
2016-03-19	2691	2715.6
2016-03-20	2628	2710.1
2016-03-21	2788	2718.9
2016-03-22	2748	2723.6
2016-03-23	2811	2741.4
2016-03-24	2660	2719.6
2016-03-25	2676	2714.6
2016-03-26	2656	2709.6
2016-03-27	2487	2689.4
2016-03-28	2551	2655.6
2016-03-29	2757	2656.9
2016-03-30	2668	2636.4
2016-03-31	2708	2643.3
2016-04-01	2675	2643.1
2016-04-02	2637	2640.4
2016-04-03	2621	2659.6
2016-04-04	2695	2680.1
